f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
5.905906e-02,-6.577433e+00,5.905906e-02,7.227583e+01,5.905906e-02,-4.596926e+01,5.905906e-02,2.281239e+01,5.905906e-02,-4.132451e+01,5.905906e-02,8.033253e+00
5.955956e-02,-6.072985e+00,5.955956e-02,6.341942e+01,5.955956e-02,-4.586517e+01,5.955956e-02,2.211162e+01,5.955956e-02,-4.124595e+01,5.955956e-02,7.830312e+00
6.006006e-02,-5.563662e+00,6.006006e-02,5.852411e+01,6.006006e-02,-4.576141e+01,6.006006e-02,2.143965e+01,6.006006e-02,-4.116796e+01,6.006006e-02,7.630350e+00
6.056056e-02,-5.049343e+00,6.056056e-02,5.497596e+01,6.056056e-02,-4.565798e+01,6.056056e-02,2.079368e+01,6.056056e-02,-4.109052e+01,6.056056e-02,7.433270e+00
6.106106e-02,-4.529904e+00,6.106106e-02,5.212125e+01,6.106106e-02,-4.555487e+01,6.106106e-02,2.017131e+01,6.106106e-02,-4.101363e+01,6.106106e-02,7.238982e+00
6.156156e-02,-4.005214e+00,6.156156e-02,4.969362e+01,6.156156e-02,-4.545206e+01,6.156156e-02,1.957046e+01,6.156156e-02,-4.093728e+01,6.156156e-02,7.047398e+00
6.206206e-02,-3.475137e+00,6.206206e-02,4.755769e+01,6.206206e-02,-4.534954e+01,6.206206e-02,1.898934e+01,6.206206e-02,-4.086146e+01,6.206206e-02,6.858434e+00
6.256256e-02,-2.939533e+00,6.256256e-02,4.563501e+01,6.256256e-02,-4.524732e+01,6.256256e-02,1.842638e+01,6.256256e-02,-4.078615e+01,6.256256e-02,6.672013e+00
6.306306e-02,-2.398254e+00,6.306306e-02,4.387590e+01,6.306306e-02,-4.514537e+01,6.306306e-02,1.788021e+01,6.306306e-02,-4.071136e+01,6.306306e-02,6.488059e+00
6.356356e-02,-1.851146e+00,6.356356e-02,4.224686e+01,6.356356e-02,-4.504369e+01,6.356356e-02,1.734961e+01,6.356356e-02,-4.063706e+01,6.356356e-02,6.306499e+00
6.406406e-02,-1.298047e+00,6.406406e-02,4.072415e+01,6.406406e-02,-4.494227e+01,6.406406e-02,1.683348e+01,6.406406e-02,-4.056326e+01,6.406406e-02,6.127265e+00
