f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.986486e+01,-7.025047e+00,2.973119e+00,-1.839458e+01,-1.480993e+01,-3.098519e+01
1.562500e-02,1.982955e+01,-3.584154e+00,2.792932e+00,-1.524387e+01,-1.538484e+01,-2.855936e+01
3.125000e-02,1.966159e+01,5.445961e-01,2.107584e+00,-1.105579e+01,-1.719193e+01,-2.547276e+01
4.687500e-02,1.951649e+01,3.510674e+00,1.134445e+00,-8.608896e+00,-1.936006e+01,-2.387077e+01
6.250000e-02,1.932952e+01,5.679416e+00,-4.211912e-01,-7.067904e+00,-2.404836e+01,-2.425101e+01
7.812500e-02,1.915317e+01,7.354217e+00,-2.616585e+00,-6.327116e+00,-2.518392e+01,-2.598777e+01
9.375000e-02,1.897909e+01,8.738777e+00,-5.950595e+00,-6.202997e+00,-2.024844e+01,-2.843213e+01
1.093750e-01,1.880931e+01,9.853515e+00,-1.047275e+01,-6.812997e+00,-1.743114e+01,-3.164538e+01
1.250000e-01,1.862469e+01,1.085016e+01,-9.252586e+00,-8.305404e+00,-1.551682e+01,-3.025624e+01
1.406250e-01,1.841485e+01,1.162600e+01,-4.166713e+00,-1.120300e+01,-1.575479e+01,-2.735354e+01
1.562500e-01,1.825148e+01,1.237353e+01,-1.095269e-02,-1.609534e+01,-1.772466e+01,-2.696589e+01
1.718750e-01,1.801556e+01,1.296901e+01,2.817376e+00,-1.179262e+01,-2.198146e+01,-2.963893e+01
1.875000e-01,1.781345e+01,1.351969e+01,5.178487e+00,-5.935373e+00,-1.801759e+01,-2.936700e+01
2.031250e-01,1.759788e+01,1.398195e+01,6.966327e+00,-1.653491e+00,-1.085001e+01,-1.994133e+01
2.187500e-01,1.731694e+01,1.433991e+01,8.483618e+00,1.487175e+00,-6.314046e+00,-1.513432e+01
2.343750e-01,1.599276e+01,1.342087e+01,8.426386e+00,2.553411e+00,-3.881127e+00,-1.206729e+01
2.500000e-01,1.071386e+01,8.734130e+00,4.372358e+00,-3.644365e-01,-5.918767e+00,-1.406284e+01
2.656250e-01,-1.981535e+00,-3.248229e+00,-6.935157e+00,-1.097037e+01,-1.638326e+01,-2.390972e+01
2.812500e-01,-3.936054e+01,-3.883858e+01,-3.718281e+01,-3.800814e+01,-3.868848e+01,-4.803810e+01
2.968750e-01,-4.475253e+01,-4.228635e+01,-4.005005e+01,-4.092947e+01,-4.281631e+01,-4.858793e+01
3.125000e-01,-4.990235e+01,-4.468887e+01,-4.390193e+01,-4.403015e+01,-4.674417e+01,-5.167886e+01
3.281250e-01,-4.686236e+01,-4.170531e+01,-4.280293e+01,-4.591172e+01,-4.791227e+01,-5.365072e+01
3.437500e-01,-4.971064e+01,-4.531327e+01,-4.630960e+01,-4.918457e+01,-5.018730e+01,-5.547009e+01
3.593750e-01,-4.629920e+01,-4.427466e+01,-4.756346e+01,-5.182604e+01,-5.301163e+01,-5.682350e+01
3.750000e-01,-4.972946e+01,-5.008742e+01,-5.089671e+01,-5.228973e+01,-5.162967e+01,-5.819326e+01
3.906250e-01,-5.180869e+01,-5.135432e+01,-5.441778e+01,-5.862609e+01,-5.652825e+01,-6.271999e+01
4.062500e-01,-5.078931e+01,-5.212825e+01,-5.639480e+01,-5.887217e+01,-5.653675e+01,-6.004561e+01
4.218750e-01,-5.223707e+01,-5.339590e+01,-5.814835e+01,-6.011077e+01,-5.664685e+01,-6.273390e+01
4.375000e-01,-5.077477e+01,-5.895650e+01,-6.340828e+01,-6.702695e+01,-5.821544e+01,-6.156230e+01
4.531250e-01,-5.397425e+01,-6.026046e+01,-6.430808e+01,-6.383961e+01,-5.766985e+01,-6.241989e+01
4.687500e-01,-5.213120e+01,-5.555024e+01,-6.240372e+01,-7.104589e+01,-5.782264e+01,-6.733110e+01
4.843750e-01,-5.287878e+01,-6.239927e+01,-6.414701e+01,-6.397632e+01,-6.113707e+01,-6.627891e+01
5.000000e-01,-5.779582e+01,-6.729208e+01,-9.276194e+01,-6.602225e+01,-6.415129e+01,-6.697220e+01
