f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,-4.272065e+00,-1.702366e+01,-2.250303e+01,-3.230505e+01,-2.458959e+01,-1.642082e+01
1.562500e-02,-6.145713e+00,-8.784071e+00,-1.264350e+01,-1.214818e+01,-1.376476e+01,-1.507806e+01
3.125000e-02,-3.893870e+00,-1.309478e+01,-1.315749e+01,-3.032643e+01,-1.287762e+01,-1.706314e+01
4.687500e-02,-4.747573e+00,-1.420390e+01,-1.613116e+01,-1.715864e+01,-1.494585e+01,-1.861708e+01
6.250000e-02,-5.243534e+00,-2.022932e+01,-1.925131e+01,-1.122820e+01,-1.804515e+01,-2.092179e+01
7.812500e-02,-9.255611e+00,-1.687022e+01,-2.220435e+01,-1.865068e+01,-1.500066e+01,-2.445927e+01
9.375000e-02,-4.804015e+00,-7.348947e+00,-1.032281e+01,-3.061719e+01,-2.614680e+01,-1.968111e+01
1.093750e-01,-6.750651e+00,-1.155920e+01,-2.909509e+01,-2.339333e+01,-1.155150e+01,-1.336185e+01
1.250000e-01,-2.752432e+00,-1.012651e+01,-1.151292e+01,-1.383845e+01,-2.183873e+01,-1.896643e+01
1.406250e-01,-7.744624e+00,-1.205518e+01,-2.818738e+01,-1.545042e+01,-1.893149e+01,-2.369665e+01
1.562500e-01,-3.676707e+00,-8.750531e+00,-1.333024e+01,-1.897666e+01,-1.573445e+01,-1.912691e+01
1.718750e-01,-3.291959e+00,-5.223615e+00,-5.296247e+00,-1.759860e+01,-2.385439e+01,-9.633264e+00
1.875000e-01,-4.217836e+00,-9.018139e+00,-1.227275e+01,-1.827204e+01,-1.823350e+01,-1.372923e+01
2.031250e-01,-1.763591e+00,-8.734419e+00,-1.142255e+01,-8.579521e+00,-1.594026e+01,-2.473081e+01
2.187500e-01,-3.407764e-01,-1.674431e+00,-2.979697e+00,-3.996639e+00,-9.338767e+00,-1.756404e+01
2.343750e-01,2.174441e+00,-1.002763e+00,-3.741085e+00,-1.084571e+01,-1.126587e+01,-1.510579e+01
2.500000e-01,-2.233697e+00,-4.298568e+00,-6.775975e+00,-8.460075e+00,-1.259931e+01,-1.659514e+01
2.656250e-01,-1.400931e+01,-1.803773e+01,-1.773029e+01,-1.973307e+01,-1.877084e+01,-2.604977e+01
2.812500e-01,-2.971453e+01,-2.497476e+01,-2.512481e+01,-2.898046e+01,-2.650874e+01,-2.987854e+01
2.968750e-01,-3.237260e+01,-2.624312e+01,-2.576175e+01,-2.998478e+01,-2.738154e+01,-2.961977e+01
3.125000e-01,-2.792162e+01,-2.846341e+01,-2.521380e+01,-3.098451e+01,-2.631748e+01,-3.265560e+01
3.281250e-01,-2.851500e+01,-2.757957e+01,-2.489112e+01,-2.987405e+01,-2.750314e+01,-2.866180e+01
3.437500e-01,-2.560718e+01,-2.842125e+01,-2.561180e+01,-2.722594e+01,-2.950935e+01,-2.938236e+01
3.593750e-01,-2.339353e+01,-3.717841e+01,-2.926084e+01,-3.345284e+01,-2.793557e+01,-3.076290e+01
3.750000e-01,-2.324433e+01,-2.883262e+01,-2.926938e+01,-3.406959e+01,-3.302255e+01,-3.314925e+01
3.906250e-01,-2.366800e+01,-3.310452e+01,-2.931499e+01,-3.905819e+01,-3.380807e+01,-3.597866e+01
4.062500e-01,-2.216720e+01,-3.333775e+01,-3.352091e+01,-4.186006e+01,-3.444981e+01,-3.761881e+01
4.218750e-01,-2.233561e+01,-3.771750e+01,-3.157172e+01,-4.667683e+01,-2.775146e+01,-3.174747e+01
4.375000e-01,-2.448581e+01,-3.533367e+01,-3.095312e+01,-3.604984e+01,-3.572939e+01,-4.669194e+01
4.531250e-01,-2.235615e+01,-3.305358e+01,-3.445872e+01,-6.342828e+01,-3.421622e+01,-4.012612e+01
4.687500e-01,-2.534070e+01,-3.869938e+01,-2.950104e+01,-3.891590e+01,-3.686239e+01,-4.075149e+01
4.843750e-01,-2.569813e+01,-2.990755e+01,-2.989509e+01,-3.241735e+01,-6.866027e+01,-3.782565e+01
5.000000e-01,-2.846297e+01,-6.525305e+01,-4.752169e+01,-3.971953e+01,-4.277544e+01,-3.524922e+01
