f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.989040e+01,-1.905352e+01,3.118263e+00,-2.960269e+01,-1.418616e+01,-3.773161e+01
1.562500e-02,1.984379e+01,-5.917267e+00,2.906146e+00,-1.719096e+01,-1.481537e+01,-3.002110e+01
3.125000e-02,1.966354e+01,-1.787119e-01,2.286164e+00,-1.153708e+01,-1.649971e+01,-2.560108e+01
4.687500e-02,1.951663e+01,3.126164e+00,1.265396e+00,-8.705642e+00,-1.961760e+01,-2.390007e+01
6.250000e-02,1.932328e+01,5.431698e+00,-2.740030e-01,-6.976212e+00,-2.668088e+01,-2.390250e+01
7.812500e-02,1.916805e+01,7.204408e+00,-2.573750e+00,-6.027076e+00,-3.324135e+01,-2.522473e+01
9.375000e-02,1.899573e+01,8.613928e+00,-6.338708e+00,-5.846110e+00,-2.151251e+01,-2.843069e+01
1.093750e-01,1.880283e+01,9.746119e+00,-1.437429e+01,-6.460313e+00,-1.729441e+01,-3.572612e+01
1.250000e-01,1.862837e+01,1.074161e+01,-1.609519e+01,-7.736537e+00,-1.526095e+01,-3.309047e+01
1.406250e-01,1.842040e+01,1.154870e+01,-5.898834e+00,-1.081395e+01,-1.485421e+01,-2.786916e+01
1.562500e-01,1.823763e+01,1.228692e+01,-9.825161e-01,-1.887705e+01,-1.629544e+01,-2.593871e+01
1.718750e-01,1.804955e+01,1.291732e+01,2.213434e+00,-1.856426e+01,-2.099499e+01,-2.677159e+01
1.875000e-01,1.779921e+01,1.343984e+01,4.681723e+00,-8.073540e+00,-2.966786e+01,-3.573403e+01
2.031250e-01,1.765396e+01,1.393801e+01,6.618704e+00,-2.864195e+00,-1.438791e+01,-2.725557e+01
2.187500e-01,1.724998e+01,1.417596e+01,8.022252e+00,4.283659e-01,-7.968650e+00,-1.767504e+01
2.343750e-01,1.596054e+01,1.349822e+01,8.390443e+00,2.231706e+00,-4.202760e+00,-1.287696e+01
2.500000e-01,1.088377e+01,8.823336e+00,4.532678e+00,-6.699893e-01,-6.598269e+00,-1.468692e+01
2.656250e-01,-2.303431e+00,-3.759142e+00,-7.543727e+00,-1.230296e+01,-1.781819e+01,-2.467165e+01
2.812500e-01,-3.126181e+01,-3.352572e+01,-3.983763e+01,-4.166582e+01,-4.912078e+01,-5.291916e+01
2.968750e-01,-3.474049e+01,-3.665942e+01,-4.014250e+01,-4.117653e+01,-4.748359e+01,-5.365635e+01
3.125000e-01,-3.833651e+01,-4.264961e+01,-4.672187e+01,-4.769142e+01,-5.503660e+01,-5.892932e+01
3.281250e-01,-4.349858e+01,-5.074479e+01,-5.612075e+01,-5.189987e+01,-5.742516e+01,-6.884429e+01
3.437500e-01,-4.499028e+01,-5.594929e+01,-5.765232e+01,-5.903664e+01,-6.476430e+01,-6.141259e+01
3.593750e-01,-4.835320e+01,-6.467546e+01,-6.864668e+01,-6.177651e+01,-6.859603e+01,-6.105999e+01
3.750000e-01,-4.945043e+01,-6.344616e+01,-7.136684e+01,-6.139047e+01,-7.547238e+01,-6.467828e+01
3.906250e-01,-5.018668e+01,-5.936012e+01,-6.227359e+01,-5.592948e+01,-7.066987e+01,-7.617284e+01
4.062500e-01,-5.370820e+01,-6.446252e+01,-7.726014e+01,-5.985625e+01,-7.060189e+01,-7.848101e+01
4.218750e-01,-5.034912e+01,-5.978619e+01,-6.483650e+01,-5.875502e+01,-7.505088e+01,-7.197094e+01
4.375000e-01,-5.405911e+01,-6.101066e+01,-6.840064e+01,-6.073254e+01,-7.356919e+01,-8.042521e+01
4.531250e-01,-5.643056e+01,-6.152960e+01,-6.552967e+01,-5.924132e+01,-6.610696e+01,-7.504235e+01
4.687500e-01,-5.485395e+01,-6.851837e+01,-7.075500e+01,-6.703420e+01,-7.233426e+01,-7.864159e+01
4.843750e-01,-5.668474e+01,-6.620977e+01,-6.954756e+01,-6.491322e+01,-7.743963e+01,-6.861724e+01
5.000000e-01,-6.061502e+01,-8.965816e+01,-6.700917e+01,-7.291776e+01,-7.975105e+01,-8.735454e+01
