f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,6.443819e+00,-3.600037e-02,-1.462778e+01,-4.637458e+00,-2.018707e+00,-2.128941e+01
1.562500e-02,7.382724e+00,1.176226e-01,-7.000436e+00,9.611770e-01,-6.707227e+00,-1.984906e+01
3.125000e-02,7.183955e+00,1.305181e+00,-9.336737e+00,-3.030822e+00,-9.956558e+00,-1.934834e+01
4.687500e-02,8.280885e+00,-4.641758e-01,-2.143068e+00,-1.605426e+00,-3.708561e+00,-1.031710e+01
6.250000e-02,9.567975e+00,5.766083e+00,1.967423e+00,8.303821e-01,-4.159611e+00,-5.816643e+00
7.812500e-02,1.057772e+01,7.081120e+00,3.130716e+00,2.226127e+00,-5.997329e-01,-7.078722e+00
9.375000e-02,1.175773e+01,7.970392e+00,6.217790e+00,3.586490e+00,-1.129429e+00,-5.486217e+00
1.093750e-01,1.048980e+01,7.719892e+00,4.308932e+00,1.959977e+00,9.869638e-01,-4.877295e+00
1.250000e-01,1.157943e+01,7.745434e+00,4.910492e+00,9.412368e-01,-1.438804e+00,-7.308084e+00
1.406250e-01,1.192838e+01,8.450606e+00,5.161522e+00,3.092178e+00,3.042573e-01,-8.022934e+00
1.562500e-01,1.191574e+01,8.387080e+00,5.212880e+00,3.274454e+00,-6.952665e-01,-6.971379e+00
1.718750e-01,1.174395e+01,7.494723e+00,2.968347e+00,5.380262e-01,-4.266724e+00,-7.843612e+00
1.875000e-01,1.166941e+01,7.517130e+00,3.227732e+00,-5.852683e-02,-2.532026e+00,-9.529361e+00
2.031250e-01,1.153463e+01,5.952572e+00,2.353490e+00,5.285752e-01,-4.863752e+00,-1.178329e+01
2.187500e-01,1.157902e+01,5.536630e+00,1.622690e+00,-1.730258e+00,-6.547964e+00,-1.133825e+01
2.343750e-01,1.039953e+01,3.520524e+00,9.854638e-01,-2.813352e+00,-6.676083e+00,-1.314153e+01
2.500000e-01,5.065626e+00,-1.404376e+00,-4.437550e+00,-7.959183e+00,-1.120556e+01,-1.993734e+01
2.656250e-01,-6.135795e+00,-1.458241e+01,-1.616980e+01,-2.088820e+01,-2.345769e+01,-3.016609e+01
2.812500e-01,-3.236093e+01,-2.879634e+01,-3.953560e+01,-3.849914e+01,-3.364007e+01,-3.629079e+01
2.968750e-01,-3.105338e+01,-3.090050e+01,-3.821698e+01,-3.788325e+01,-3.310206e+01,-3.932716e+01
3.125000e-01,-3.221528e+01,-3.042863e+01,-4.530829e+01,-4.165432e+01,-3.427552e+01,-3.658846e+01
3.281250e-01,-3.730211e+01,-3.395541e+01,-4.740318e+01,-6.096929e+01,-4.199957e+01,-4.391485e+01
3.437500e-01,-3.107737e+01,-3.181630e+01,-4.372073e+01,-4.057676e+01,-3.671597e+01,-3.765002e+01
3.593750e-01,-3.072767e+01,-3.264923e+01,-4.184038e+01,-3.885057e+01,-3.767845e+01,-3.920307e+01
3.750000e-01,-3.092855e+01,-3.099318e+01,-5.588720e+01,-4.483358e+01,-3.820896e+01,-4.395782e+01
3.906250e-01,-3.021347e+01,-3.135246e+01,-4.922116e+01,-4.691610e+01,-4.360665e+01,-4.831620e+01
4.062500e-01,-2.811404e+01,-3.085382e+01,-5.762692e+01,-3.694807e+01,-3.732358e+01,-4.593757e+01
4.218750e-01,-3.010938e+01,-3.078571e+01,-4.672011e+01,-4.234716e+01,-4.216879e+01,-4.507166e+01
4.375000e-01,-2.775225e+01,-2.968297e+01,-3.812565e+01,-3.638181e+01,-3.484204e+01,-4.260925e+01
4.531250e-01,-2.982340e+01,-3.091874e+01,-4.331444e+01,-4.083522e+01,-3.784254e+01,-4.882420e+01
4.687500e-01,-2.655164e+01,-2.990877e+01,-4.665927e+01,-3.774002e+01,-3.817288e+01,-5.048587e+01
4.843750e-01,-2.962503e+01,-3.770338e+01,-3.382841e+01,-3.319811e+01,-3.895557e+01,-5.131595e+01
5.000000e-01,-5.236061e+01,-3.801771e+01,-3.651407e+01,-4.728690e+01,-4.323802e+01,-3.704673e+01
