f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.987051e+01,-3.043071e+00,3.623583e+00,-1.356248e+01,-1.269843e+01,-2.368043e+01
1.562500e-02,1.981668e+01,-1.350050e+00,3.398499e+00,-1.177469e+01,-1.315619e+01,-2.358977e+01
3.125000e-02,1.964826e+01,1.461343e+00,2.855564e+00,-9.500907e+00,-1.440629e+01,-2.171324e+01
4.687500e-02,1.947725e+01,3.915078e+00,1.925748e+00,-7.224123e+00,-1.653133e+01,-2.074096e+01
6.250000e-02,1.931129e+01,5.891248e+00,6.828864e-01,-5.897433e+00,-1.888524e+01,-2.057604e+01
7.812500e-02,1.915390e+01,7.486627e+00,-1.051958e+00,-5.063034e+00,-1.943953e+01,-2.132498e+01
9.375000e-02,1.898311e+01,8.788783e+00,-3.325447e+00,-4.772488e+00,-1.775342e+01,-2.287473e+01
1.093750e-01,1.880392e+01,9.877368e+00,-5.991823e+00,-4.987998e+00,-1.470231e+01,-2.406016e+01
1.250000e-01,1.860754e+01,1.081530e+01,-6.301171e+00,-5.815622e+00,-1.317113e+01,-2.432623e+01
1.406250e-01,1.838966e+01,1.158883e+01,-3.460371e+00,-7.390066e+00,-1.216575e+01,-2.274824e+01
1.562500e-01,1.826087e+01,1.232394e+01,-1.994275e-01,-9.219259e+00,-1.242722e+01,-2.105493e+01
1.718750e-01,1.802163e+01,1.290794e+01,2.569984e+00,-9.432079e+00,-1.307271e+01,-2.043136e+01
1.875000e-01,1.781363e+01,1.347467e+01,4.809056e+00,-6.014682e+00,-1.374244e+01,-2.062630e+01
2.031250e-01,1.759886e+01,1.395173e+01,6.805113e+00,-2.299407e+00,-1.132184e+01,-1.967266e+01
2.187500e-01,1.740148e+01,1.432683e+01,8.305711e+00,1.036187e+00,-6.602189e+00,-1.562913e+01
2.343750e-01,1.611090e+01,1.361361e+01,8.556685e+00,2.518004e+00,-4.128979e+00,-1.227346e+01
2.500000e-01,1.082299e+01,8.790397e+00,4.664542e+00,-3.609424e-01,-5.786968e+00,-1.299906e+01
2.656250e-01,-1.811379e+00,-3.287812e+00,-7.095505e+00,-1.052132e+01,-1.585706e+01,-2.218059e+01
2.812500e-01,-4.090125e+01,-3.781091e+01,-3.742402e+01,-5.067836e+01,-6.058034e+01,-6.285892e+01
2.968750e-01,-4.756429e+01,-4.359830e+01,-4.096339e+01,-4.740525e+01,-5.197636e+01,-5.487106e+01
3.125000e-01,-4.414830e+01,-4.831440e+01,-4.722383e+01,-4.901077e+01,-5.628105e+01,-5.935217e+01
3.281250e-01,-5.498469e+01,-6.296528e+01,-5.037721e+01,-5.168606e+01,-6.474414e+01,-7.150668e+01
3.437500e-01,-5.228666e+01,-5.872285e+01,-5.438287e+01,-4.976998e+01,-5.647122e+01,-5.801932e+01
3.593750e-01,-5.170771e+01,-5.473722e+01,-5.552043e+01,-5.233159e+01,-5.914527e+01,-6.639576e+01
3.750000e-01,-5.346069e+01,-5.397610e+01,-5.207937e+01,-5.139468e+01,-5.572519e+01,-6.090204e+01
3.906250e-01,-5.297767e+01,-5.877714e+01,-5.495106e+01,-5.336714e+01,-5.798154e+01,-6.457439e+01
4.062500e-01,-6.016500e+01,-6.227456e+01,-5.511578e+01,-5.498364e+01,-6.354844e+01,-6.666916e+01
4.218750e-01,-5.427789e+01,-6.060033e+01,-5.824844e+01,-5.559273e+01,-6.272547e+01,-6.758254e+01
4.375000e-01,-5.524049e+01,-7.611208e+01,-5.926754e+01,-5.447582e+01,-6.584168e+01,-6.536481e+01
4.531250e-01,-5.582830e+01,-6.777782e+01,-6.064247e+01,-5.696885e+01,-7.656838e+01,-7.503592e+01
4.687500e-01,-5.463348e+01,-7.450621e+01,-6.149535e+01,-5.672477e+01,-6.897270e+01,-7.012762e+01
4.843750e-01,-5.341122e+01,-6.496922e+01,-6.317480e+01,-5.684457e+01,-6.320123e+01,-6.641112e+01
5.000000e-01,-5.274490e+01,-6.471747e+01,-7.545679e+01,-5.939211e+01,-6.419360e+01,-6.661392e+01
