f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.920537e+01,8.515807e-01,3.584815e+00,-9.739071e+00,-1.128477e+01,-2.264085e+01
1.562500e-02,1.942491e+01,1.732005e+00,3.575271e+00,-9.167418e+00,-1.255121e+01,-2.042343e+01
3.125000e-02,1.928099e+01,3.306594e+00,2.979460e+00,-7.724118e+00,-1.338698e+01,-2.088727e+01
4.687500e-02,1.919536e+01,5.021949e+00,2.282000e+00,-6.471388e+00,-1.526712e+01,-1.927998e+01
6.250000e-02,1.899845e+01,6.588518e+00,1.181713e+00,-5.234522e+00,-1.570980e+01,-2.081262e+01
7.812500e-02,1.871117e+01,7.891031e+00,-1.177918e-01,-4.744714e+00,-1.653681e+01,-2.038940e+01
9.375000e-02,1.872921e+01,9.166642e+00,-1.550069e+00,-4.446712e+00,-1.456581e+01,-2.132608e+01
1.093750e-01,1.858054e+01,1.013704e+01,-2.623765e+00,-4.637247e+00,-1.354994e+01,-2.139831e+01
1.250000e-01,1.839982e+01,1.099295e+01,-2.299383e+00,-5.045051e+00,-1.201957e+01,-2.077565e+01
1.406250e-01,1.817296e+01,1.177937e+01,-5.699171e-01,-5.787164e+00,-1.110975e+01,-2.049634e+01
1.562500e-01,1.796050e+01,1.243766e+01,1.573480e+00,-6.115910e+00,-1.132517e+01,-1.970920e+01
1.718750e-01,1.781738e+01,1.305213e+01,3.848802e+00,-5.081479e+00,-1.111267e+01,-1.851976e+01
1.875000e-01,1.762549e+01,1.353656e+01,5.755362e+00,-2.993214e+00,-1.020241e+01,-1.738236e+01
2.031250e-01,1.749661e+01,1.398430e+01,7.332761e+00,2.403947e-04,-6.949327e+00,-1.521188e+01
2.187500e-01,1.713143e+01,1.432046e+01,8.771999e+00,2.230196e+00,-4.255765e+00,-1.258550e+01
2.343750e-01,1.581408e+01,1.352023e+01,8.719894e+00,3.257338e+00,-2.637980e+00,-1.004219e+01
2.500000e-01,1.078718e+01,8.681699e+00,4.767241e+00,8.542970e-02,-5.460164e+00,-1.321142e+01
2.656250e-01,-2.212062e+00,-3.845860e+00,-7.225149e+00,-1.136269e+01,-1.577176e+01,-2.358277e+01
2.812500e-01,-2.621303e+01,-3.616248e+01,-3.835562e+01,-3.914046e+01,-4.274753e+01,-4.021704e+01
2.968750e-01,-3.073893e+01,-3.986539e+01,-3.689134e+01,-3.934247e+01,-4.333377e+01,-4.142245e+01
3.125000e-01,-3.294211e+01,-4.952476e+01,-4.426888e+01,-4.451279e+01,-5.522255e+01,-4.924616e+01
3.281250e-01,-3.344294e+01,-4.590740e+01,-4.555503e+01,-4.841805e+01,-4.909387e+01,-4.638336e+01
3.437500e-01,-3.735607e+01,-4.968792e+01,-4.940361e+01,-5.471946e+01,-5.656959e+01,-5.127898e+01
3.593750e-01,-3.550563e+01,-4.914694e+01,-4.869645e+01,-5.848299e+01,-5.581611e+01,-5.094536e+01
3.750000e-01,-3.936786e+01,-5.269713e+01,-4.952933e+01,-5.697221e+01,-5.518895e+01,-5.163530e+01
3.906250e-01,-3.943730e+01,-5.170348e+01,-4.910177e+01,-5.493952e+01,-5.366018e+01,-5.227181e+01
4.062500e-01,-3.970370e+01,-5.343934e+01,-5.512697e+01,-5.939236e+01,-5.957893e+01,-5.910382e+01
4.218750e-01,-4.132517e+01,-5.525446e+01,-5.108573e+01,-5.469459e+01,-5.804501e+01,-5.405548e+01
4.375000e-01,-4.299786e+01,-5.560604e+01,-5.391357e+01,-5.727664e+01,-6.049807e+01,-5.701157e+01
4.531250e-01,-4.074535e+01,-5.741261e+01,-5.317332e+01,-6.267573e+01,-6.408148e+01,-5.846212e+01
4.687500e-01,-3.968540e+01,-5.584303e+01,-5.368572e+01,-6.635075e+01,-6.812670e+01,-5.883102e+01
4.843750e-01,-4.325705e+01,-5.520774e+01,-5.300327e+01,-6.383929e+01,-5.732976e+01,-5.959829e+01
5.000000e-01,-4.467675e+01,-5.740558e+01,-5.764032e+01,-5.946445e+01,-6.253900e+01,-6.245456e+01
