f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.987385e+01,-1.389413e+00,2.653191e+00,-1.392392e+01,-1.653430e+01,-3.527326e+01
1.562500e-02,1.983126e+01,-1.436505e-01,2.473097e+00,-1.236985e+01,-1.680676e+01,-3.321256e+01
3.125000e-02,1.966932e+01,2.235894e+00,1.849924e+00,-1.031589e+01,-1.785771e+01,-3.105965e+01
4.687500e-02,1.951295e+01,4.450044e+00,9.765421e-01,-8.730367e+00,-2.000108e+01,-2.851383e+01
6.250000e-02,1.933673e+01,6.272096e+00,-3.463216e-01,-7.539892e+00,-2.244269e+01,-2.808099e+01
7.812500e-02,1.917114e+01,7.776947e+00,-2.055474e+00,-6.749949e+00,-2.076224e+01,-2.811763e+01
9.375000e-02,1.899886e+01,9.082218e+00,-3.815418e+00,-6.663266e+00,-1.941862e+01,-3.091000e+01
1.093750e-01,1.878220e+01,1.006167e+01,-4.664337e+00,-6.889371e+00,-1.666451e+01,-3.045369e+01
1.250000e-01,1.861797e+01,1.103387e+01,-3.123220e+00,-7.635511e+00,-1.600272e+01,-2.778397e+01
1.406250e-01,1.840110e+01,1.177880e+01,-6.370233e-01,-7.826184e+00,-1.498075e+01,-2.722520e+01
1.562500e-01,1.822523e+01,1.254463e+01,2.114927e+00,-6.629558e+00,-1.354377e+01,-2.408972e+01
1.718750e-01,1.798871e+01,1.300311e+01,4.059576e+00,-4.616785e+00,-1.134265e+01,-1.970907e+01
1.875000e-01,1.778839e+01,1.362268e+01,6.194564e+00,-1.361669e+00,-7.875658e+00,-1.604159e+01
2.031250e-01,1.746615e+01,1.379769e+01,7.311004e+00,7.264878e-01,-5.802139e+00,-1.355987e+01
2.187500e-01,1.694034e+01,1.395663e+01,8.207974e+00,1.967178e+00,-4.023240e+00,-1.271538e+01
2.343750e-01,1.561662e+01,1.314747e+01,8.416505e+00,3.228949e+00,-2.243848e+00,-1.025720e+01
2.500000e-01,9.917466e+00,7.453814e+00,3.016531e+00,-2.011048e+00,-8.093073e+00,-1.369394e+01
2.656250e-01,-3.060552e+00,-4.589879e+00,-8.956905e+00,-1.334189e+01,-1.787068e+01,-2.430609e+01
2.812500e-01,-2.916023e+01,-3.868517e+01,-3.418690e+01,-3.579234e+01,-3.937484e+01,-5.026099e+01
2.968750e-01,-3.949868e+01,-4.290003e+01,-4.235201e+01,-4.974128e+01,-5.512068e+01,-4.912289e+01
3.125000e-01,-4.179297e+01,-5.825964e+01,-4.354483e+01,-4.318333e+01,-4.515759e+01,-5.110998e+01
3.281250e-01,-4.315832e+01,-4.446813e+01,-5.041426e+01,-5.239632e+01,-5.180901e+01,-5.526442e+01
3.437500e-01,-4.589353e+01,-4.382599e+01,-4.769873e+01,-5.436618e+01,-5.640084e+01,-5.920284e+01
3.593750e-01,-5.172681e+01,-4.546841e+01,-5.857346e+01,-5.551922e+01,-5.124753e+01,-5.757680e+01
3.750000e-01,-4.426257e+01,-4.519279e+01,-5.025533e+01,-5.859084e+01,-6.294948e+01,-6.995740e+01
3.906250e-01,-5.336989e+01,-5.300966e+01,-5.822822e+01,-5.744120e+01,-5.755225e+01,-5.900207e+01
4.062500e-01,-5.512017e+01,-5.104142e+01,-7.039683e+01,-5.636097e+01,-5.632223e+01,-6.160166e+01
4.218750e-01,-5.693639e+01,-5.425526e+01,-6.116593e+01,-6.402107e+01,-5.994835e+01,-5.597063e+01
4.375000e-01,-4.983023e+01,-6.344002e+01,-5.513527e+01,-5.417041e+01,-5.501982e+01,-5.851895e+01
4.531250e-01,-5.424858e+01,-6.190576e+01,-6.118423e+01,-5.878155e+01,-5.817987e+01,-6.186130e+01
4.687500e-01,-5.584153e+01,-6.045109e+01,-5.980391e+01,-6.199567e+01,-5.815898e+01,-5.686587e+01
4.843750e-01,-5.950216e+01,-6.623834e+01,-7.121937e+01,-5.568053e+01,-5.790905e+01,-5.664490e+01
5.000000e-01,-6.524162e+01,-5.433828e+01,-5.532564e+01,-5.419939e+01,-5.397461e+01,-5.889807e+01
