f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.990124e+01,4.268324e+00,-1.001896e+01,-1.501545e+01,-9.509560e+00,-1.767185e+01
1.562500e-02,1.982753e+01,4.754955e+00,-8.483842e+00,-1.414889e+01,-9.763827e+00,-1.718696e+01
3.125000e-02,1.969041e+01,5.594938e+00,-6.884458e+00,-1.194163e+01,-9.891720e+00,-1.627679e+01
4.687500e-02,1.951113e+01,6.899092e+00,-4.086890e+00,-9.395877e+00,-1.020059e+01,-1.508743e+01
6.250000e-02,1.932952e+01,8.028973e+00,-1.742063e+00,-6.401520e+00,-8.999307e+00,-1.428224e+01
7.812500e-02,1.912850e+01,9.104661e+00,3.563807e-01,-3.805714e+00,-7.633591e+00,-1.301792e+01
9.375000e-02,1.887400e+01,9.935109e+00,1.937952e+00,-1.879795e+00,-5.850381e+00,-1.231057e+01
1.093750e-01,1.854994e+01,1.057879e+01,3.620683e+00,1.963746e-01,-3.675509e+00,-1.162801e+01
1.250000e-01,1.823529e+01,1.090569e+01,4.127116e+00,1.197098e+00,-2.263610e+00,-8.818917e+00
1.406250e-01,1.768390e+01,1.086459e+01,3.802449e+00,6.590603e-01,-3.007521e+00,-9.528441e+00
1.562500e-01,1.729822e+01,1.106792e+01,4.642197e+00,1.953395e+00,-2.774318e+00,-9.316945e+00
1.718750e-01,1.663127e+01,1.008979e+01,3.135324e+00,-3.106408e-01,-2.574979e+00,-1.098948e+01
1.875000e-01,1.542259e+01,9.147867e+00,2.886165e+00,-1.010505e+00,-4.670186e+00,-8.464714e+00
2.031250e-01,1.485781e+01,8.740738e+00,1.699247e+00,-2.190803e+00,-5.695403e+00,-1.033878e+01
2.187500e-01,1.452258e+01,8.156967e+00,-3.232759e-01,-4.141851e+00,-9.633092e+00,-1.715600e+01
2.343750e-01,1.233190e+01,6.314959e+00,-2.523540e+00,-7.035239e+00,-1.267231e+01,-3.762623e+01
2.500000e-01,6.965658e+00,1.691443e+00,-8.056289e+00,-2.008657e+01,-2.801133e+01,-3.153945e+01
2.656250e-01,-5.452565e+00,-1.049357e+01,-1.786841e+01,-2.322667e+01,-2.708828e+01,-3.537498e+01
2.812500e-01,-4.262687e+01,-3.839276e+01,-3.448470e+01,-4.212480e+01,-3.976105e+01,-4.781860e+01
2.968750e-01,-4.915125e+01,-4.077906e+01,-3.789328e+01,-3.617288e+01,-3.668494e+01,-4.447007e+01
3.125000e-01,-4.448008e+01,-4.271976e+01,-3.716327e+01,-4.046650e+01,-4.198162e+01,-4.861521e+01
3.281250e-01,-4.095283e+01,-4.050992e+01,-3.948536e+01,-4.539600e+01,-4.223251e+01,-5.590732e+01
3.437500e-01,-4.341393e+01,-4.171733e+01,-3.996938e+01,-4.974103e+01,-4.190214e+01,-5.260855e+01
3.593750e-01,-5.007829e+01,-4.500300e+01,-3.986972e+01,-4.697616e+01,-4.735706e+01,-4.869546e+01
3.750000e-01,-4.276450e+01,-4.248957e+01,-4.000410e+01,-5.044397e+01,-4.840104e+01,-6.807364e+01
3.906250e-01,-4.527856e+01,-4.457068e+01,-4.307308e+01,-4.701527e+01,-4.559926e+01,-5.771540e+01
4.062500e-01,-4.662404e+01,-4.534267e+01,-4.257206e+01,-4.563378e+01,-4.628560e+01,-7.810736e+01
4.218750e-01,-4.781488e+01,-4.775488e+01,-4.497342e+01,-4.579969e+01,-4.288246e+01,-5.740675e+01
4.375000e-01,-4.596002e+01,-4.699947e+01,-4.528439e+01,-4.392220e+01,-4.182004e+01,-5.431841e+01
4.531250e-01,-5.150022e+01,-4.946824e+01,-5.054566e+01,-4.749227e+01,-4.182420e+01,-5.673517e+01
4.687500e-01,-4.307551e+01,-4.220151e+01,-4.255756e+01,-4.215826e+01,-3.929643e+01,-4.748204e+01
4.843750e-01,-4.468784e+01,-4.189051e+01,-3.850467e+01,-4.006246e+01,-3.753476e+01,-4.527688e+01
5.000000e-01,-5.679127e+01,-5.663998e+01,-4.674812e+01,-6.028540e+01,-4.569207e+01,-5.084803e+01
