f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,-1.200264e+01,-1.224493e+01,-3.225712e+01,-1.751375e+01,-4.318249e+01,-1.332468e+01
1.562500e-02,-1.025803e+01,-1.727217e+01,-2.792163e+01,-1.529285e+01,-2.298160e+01,-1.234144e+01
3.125000e-02,-9.017938e+00,-1.505986e+01,-1.372033e+01,-3.179146e+01,-1.461947e+01,-1.703678e+01
4.687500e-02,-1.011207e+01,-2.025121e+01,-1.571715e+01,-1.723586e+01,-2.791424e+01,-1.108810e+01
6.250000e-02,-2.052054e+01,-1.450302e+01,-1.864040e+01,-2.118326e+01,-2.425727e+01,-1.810311e+01
7.812500e-02,-1.012122e+01,-1.034550e+01,-1.320098e+01,-2.297295e+01,-1.793770e+01,-9.514609e+00
9.375000e-02,-1.115934e+01,-2.353895e+01,-2.701789e+01,-1.871722e+01,-1.492178e+01,-1.567226e+01
1.093750e-01,-1.074780e+01,-2.400314e+01,-1.760572e+01,-1.679502e+01,-2.075532e+01,-1.694120e+01
1.250000e-01,-1.058547e+01,-1.118181e+01,-1.599516e+01,-1.886258e+01,-1.378486e+01,-1.848969e+01
1.406250e-01,-8.427311e+00,-1.869715e+01,-2.640945e+01,-3.826166e+01,-1.836620e+01,-1.671664e+01
1.562500e-01,-6.813843e+00,-1.184588e+01,-1.347627e+01,-1.821940e+01,-1.931829e+01,-1.388447e+01
1.718750e-01,-1.040150e+01,-8.571807e+00,-1.605919e+01,-2.359109e+01,-2.142649e+01,-2.067514e+01
1.875000e-01,-7.738237e+00,-1.248722e+01,-1.841895e+01,-1.822096e+01,-3.958280e+01,-2.228018e+01
2.031250e-01,-1.316788e+01,-7.865919e+00,-1.244478e+01,-1.613144e+01,-9.677688e+00,-1.473999e+01
2.187500e-01,-8.003842e+00,-1.687119e+01,-2.433491e+01,-2.082020e+01,-1.628388e+01,-1.965829e+01
2.343750e-01,-7.572296e+00,-8.221305e+00,-1.222951e+01,-1.704571e+01,-2.621299e+01,-2.091725e+01
2.500000e-01,-2.358383e+01,-1.956126e+01,-1.966750e+01,-2.538571e+01,-1.902193e+01,-1.970783e+01
2.656250e-01,-2.471407e+01,-3.055960e+01,-2.544211e+01,-1.895173e+01,-2.676562e+01,-2.564833e+01
2.812500e-01,-3.918352e+01,-4.250951e+01,-2.969931e+01,-2.556476e+01,-2.805173e+01,-2.621376e+01
2.968750e-01,-3.907233e+01,-5.835924e+01,-3.290748e+01,-2.525555e+01,-3.194011e+01,-3.041557e+01
3.125000e-01,-5.240331e+01,-3.789842e+01,-3.008356e+01,-2.369777e+01,-2.491413e+01,-2.733640e+01
3.281250e-01,-3.229790e+01,-3.776976e+01,-3.432854e+01,-2.483018e+01,-2.764852e+01,-2.920762e+01
3.437500e-01,-3.580773e+01,-4.772736e+01,-3.179424e+01,-2.517015e+01,-3.038113e+01,-3.156210e+01
3.593750e-01,-4.200084e+01,-4.268135e+01,-3.499097e+01,-2.532160e+01,-2.938143e+01,-3.044763e+01
3.750000e-01,-4.140223e+01,-4.209465e+01,-3.326369e+01,-2.675500e+01,-2.897711e+01,-3.291740e+01
3.906250e-01,-4.212638e+01,-3.347195e+01,-2.890393e+01,-2.617109e+01,-3.039966e+01,-3.342979e+01
4.062500e-01,-4.053827e+01,-3.699742e+01,-3.082795e+01,-2.743536e+01,-3.263350e+01,-3.766737e+01
4.218750e-01,-3.423126e+01,-3.761891e+01,-3.858450e+01,-3.034730e+01,-3.535604e+01,-3.886276e+01
4.375000e-01,-3.726771e+01,-4.420959e+01,-3.711080e+01,-3.169390e+01,-3.963962e+01,-4.365579e+01
4.531250e-01,-3.485326e+01,-3.637535e+01,-4.240011e+01,-3.566763e+01,-3.780266e+01,-3.999070e+01
4.687500e-01,-3.760923e+01,-3.469922e+01,-3.727135e+01,-3.770404e+01,-3.597126e+01,-3.958227e+01
4.843750e-01,-3.406619e+01,-2.993615e+01,-3.080836e+01,-3.077675e+01,-3.201184e+01,-3.925227e+01
5.000000e-01,-4.180684e+01,-4.409210e+01,-4.828270e+01,-3.762742e+01,-9.757815e+01,-3.481053e+01
