f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.619908e+01,5.182665e+00,7.058882e+00,9.399099e+00,1.090954e+00,-1.244496e+01
1.562500e-02,1.666793e+01,7.743711e+00,7.609011e+00,9.400929e+00,1.263806e+00,-6.642034e+00
3.125000e-02,1.606438e+01,8.183511e+00,5.908558e+00,7.850199e+00,6.405026e-01,-1.311222e+01
4.687500e-02,1.547808e+01,8.327472e+00,5.983274e+00,6.581387e+00,5.414567e-01,-1.826977e+01
6.250000e-02,1.544312e+01,8.802820e+00,3.699616e+00,5.966816e+00,-5.609942e-01,-9.479441e+00
7.812500e-02,1.554066e+01,7.955879e+00,2.040190e+00,4.818667e+00,-1.965868e+00,-1.446523e+01
9.375000e-02,1.462245e+01,7.654113e+00,3.277973e+00,1.936402e+00,-4.014622e+00,-1.358328e+01
1.093750e-01,1.441775e+01,7.180804e+00,4.124788e-01,-6.473205e-01,-5.691423e+00,-2.231944e+01
1.250000e-01,1.410279e+01,5.533062e+00,-1.481544e+00,-3.362872e+00,-8.252898e+00,-1.763525e+01
1.406250e-01,1.366486e+01,5.231700e+00,-2.596805e+00,-3.068696e+00,-5.613869e+00,-1.179149e+01
1.562500e-01,1.365542e+01,2.672978e+00,-6.295641e+00,-2.393169e+00,-1.301855e+01,-2.030028e+01
1.718750e-01,1.303511e+01,3.342723e+00,-1.478650e+00,-7.959768e+00,-1.760030e+01,-2.124341e+01
1.875000e-01,1.305585e+01,2.962578e+00,-3.410254e+00,-1.172494e+01,-1.135330e+01,-2.183650e+01
2.031250e-01,1.225586e+01,-1.962154e-01,-1.124466e+00,-7.930494e+00,-1.119668e+01,-2.031702e+01
2.187500e-01,1.219936e+01,-9.413890e-01,-2.655307e+00,-1.011211e+01,-1.652866e+01,-1.986364e+01
2.343750e-01,1.065523e+01,-3.359187e+00,-3.517679e+00,-9.951402e+00,-1.461894e+01,-3.162249e+01
2.500000e-01,5.694048e+00,-7.415593e+00,-7.358498e+00,-1.790023e+01,-2.373324e+01,-2.515233e+01
2.656250e-01,-6.904798e+00,-2.109640e+01,-2.532485e+01,-3.040258e+01,-3.576862e+01,-3.068857e+01
2.812500e-01,-2.928953e+01,-3.200752e+01,-2.824068e+01,-3.952196e+01,-4.084390e+01,-3.493516e+01
2.968750e-01,-2.632277e+01,-2.889460e+01,-3.345715e+01,-4.516404e+01,-4.286917e+01,-3.987944e+01
3.125000e-01,-2.483798e+01,-2.829506e+01,-3.185410e+01,-3.566598e+01,-3.579346e+01,-3.577046e+01
3.281250e-01,-2.859350e+01,-3.097089e+01,-3.878406e+01,-4.370031e+01,-4.673250e+01,-3.907910e+01
3.437500e-01,-2.809037e+01,-3.035614e+01,-3.293403e+01,-4.423937e+01,-4.377343e+01,-3.865173e+01
3.593750e-01,-2.885515e+01,-2.883670e+01,-3.289876e+01,-3.824975e+01,-4.083812e+01,-3.769000e+01
3.750000e-01,-2.709295e+01,-2.759631e+01,-3.332390e+01,-3.920132e+01,-4.549678e+01,-3.814807e+01
3.906250e-01,-3.135754e+01,-3.168425e+01,-3.635860e+01,-3.773606e+01,-3.810091e+01,-4.210493e+01
4.062500e-01,-2.970461e+01,-2.991573e+01,-3.427405e+01,-3.581250e+01,-5.181631e+01,-4.704886e+01
4.218750e-01,-3.044302e+01,-2.882663e+01,-3.334814e+01,-3.441998e+01,-4.293292e+01,-4.365893e+01
4.375000e-01,-3.193291e+01,-3.094850e+01,-3.421166e+01,-3.369065e+01,-4.784583e+01,-6.317921e+01
4.531250e-01,-3.700392e+01,-3.660610e+01,-4.064115e+01,-3.929547e+01,-4.861800e+01,-5.264900e+01
4.687500e-01,-3.439262e+01,-3.394151e+01,-3.666028e+01,-3.749125e+01,-3.768790e+01,-4.153066e+01
4.843750e-01,-3.309493e+01,-3.291293e+01,-3.855438e+01,-4.491689e+01,-4.034449e+01,-4.322744e+01
5.000000e-01,-5.273246e+01,-3.837738e+01,-6.945387e+01,-4.066793e+01,-4.507247e+01,-6.925302e+01
