f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.988976e+01,1.182471e+00,-2.291516e+00,-2.445994e+01,-2.083361e+01,-2.749414e+01
1.562500e-02,1.982495e+01,1.514744e+00,-2.530633e+00,-2.328507e+01,-2.100977e+01,-2.793370e+01
3.125000e-02,1.968839e+01,3.585518e+00,-2.982135e+00,-2.097640e+01,-1.973026e+01,-2.441895e+01
4.687500e-02,1.948436e+01,5.162331e+00,-3.900849e+00,-1.937115e+01,-2.073580e+01,-2.278651e+01
6.250000e-02,1.934864e+01,7.016145e+00,-3.933083e+00,-1.492854e+01,-1.921613e+01,-2.151450e+01
7.812500e-02,1.914499e+01,8.275032e+00,-3.654436e+00,-1.234706e+01,-1.765141e+01,-2.026236e+01
9.375000e-02,1.893977e+01,9.449114e+00,-2.057905e+00,-8.838409e+00,-1.544497e+01,-2.152662e+01
1.093750e-01,1.879596e+01,1.053910e+01,3.874456e-02,-5.995011e+00,-1.127132e+01,-1.823860e+01
1.250000e-01,1.856510e+01,1.136043e+01,1.899644e+00,-3.568515e+00,-8.676198e+00,-1.676948e+01
1.406250e-01,1.830760e+01,1.203627e+01,3.711257e+00,-1.558392e+00,-6.887465e+00,-1.490384e+01
1.562500e-01,1.806506e+01,1.242135e+01,5.092178e+00,8.880780e-01,-3.752979e+00,-1.117495e+01
1.718750e-01,1.769944e+01,1.284920e+01,6.261184e+00,1.514565e+00,-2.730756e+00,-8.641168e+00
1.875000e-01,1.715826e+01,1.274359e+01,6.560124e+00,2.400226e+00,-1.288295e+00,-7.473654e+00
2.031250e-01,1.635820e+01,1.217154e+01,6.002282e+00,2.666363e-01,-3.736145e+00,-9.712345e+00
2.187500e-01,1.517506e+01,1.090709e+01,4.562039e+00,3.031050e-01,-3.173144e+00,-9.761380e+00
2.343750e-01,1.348647e+01,9.343780e+00,3.000352e+00,-9.096925e-01,-6.123843e+00,-1.585623e+01
2.500000e-01,7.881926e+00,4.306005e+00,-2.410102e+00,-6.708652e+00,-1.138278e+01,-1.883146e+01
2.656250e-01,-5.386197e+00,-9.721964e+00,-1.649553e+01,-2.267075e+01,-2.616722e+01,-3.167698e+01
2.812500e-01,-3.083265e+01,-3.153780e+01,-4.353008e+01,-3.886686e+01,-3.226626e+01,-3.877239e+01
2.968750e-01,-3.771738e+01,-3.602669e+01,-5.062325e+01,-4.525597e+01,-3.612608e+01,-3.878154e+01
3.125000e-01,-5.446160e+01,-3.841619e+01,-4.139645e+01,-4.084760e+01,-3.700697e+01,-4.482155e+01
3.281250e-01,-4.195634e+01,-3.733278e+01,-5.396017e+01,-4.768368e+01,-4.089102e+01,-4.406854e+01
3.437500e-01,-4.565324e+01,-3.895406e+01,-4.218313e+01,-4.747691e+01,-4.021908e+01,-4.360670e+01
3.593750e-01,-4.659288e+01,-4.016217e+01,-4.316105e+01,-4.782811e+01,-4.311043e+01,-4.395018e+01
3.750000e-01,-4.524758e+01,-3.896654e+01,-4.705045e+01,-4.454469e+01,-4.172405e+01,-4.983880e+01
3.906250e-01,-4.267476e+01,-3.819682e+01,-4.522347e+01,-4.313553e+01,-4.367110e+01,-5.069325e+01
4.062500e-01,-4.549674e+01,-4.208316e+01,-4.966976e+01,-5.177330e+01,-4.860065e+01,-4.949340e+01
4.218750e-01,-5.307009e+01,-4.159044e+01,-4.876555e+01,-5.183871e+01,-4.925514e+01,-4.761162e+01
4.375000e-01,-4.774265e+01,-4.446640e+01,-4.570521e+01,-5.151116e+01,-4.946984e+01,-4.698593e+01
4.531250e-01,-4.986756e+01,-4.349614e+01,-4.426937e+01,-4.788578e+01,-5.782404e+01,-7.164198e+01
4.687500e-01,-4.920693e+01,-4.697867e+01,-4.812584e+01,-5.044956e+01,-5.123243e+01,-4.779007e+01
4.843750e-01,-4.895040e+01,-4.893609e+01,-4.134525e+01,-4.803909e+01,-5.780000e+01,-5.028947e+01
5.000000e-01,-6.375916e+01,-4.939594e+01,-4.485392e+01,-4.680552e+01,-6.675320e+01,-4.474938e+01
