f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.987032e+01,-4.180809e+00,3.368429e+00,-1.478937e+01,-1.367352e+01,-2.610035e+01
1.562500e-02,1.981927e+01,-2.149587e+00,3.213547e+00,-1.287907e+01,-1.408782e+01,-2.489354e+01
3.125000e-02,1.964785e+01,1.109831e+00,2.619992e+00,-1.003266e+01,-1.543439e+01,-2.308849e+01
4.687500e-02,1.943101e+01,3.707945e+00,1.695092e+00,-7.791490e+00,-1.756307e+01,-2.177930e+01
6.250000e-02,1.930672e+01,5.789791e+00,3.247553e-01,-6.299533e+00,-2.042691e+01,-2.161684e+01
7.812500e-02,1.914603e+01,7.417760e+00,-1.573961e+00,-5.399444e+00,-2.120820e+01,-2.296787e+01
9.375000e-02,1.899048e+01,8.761239e+00,-4.230463e+00,-5.293572e+00,-1.866654e+01,-2.423537e+01
1.093750e-01,1.880105e+01,9.852903e+00,-7.260684e+00,-5.565227e+00,-1.553266e+01,-2.658450e+01
1.250000e-01,1.860718e+01,1.082271e+01,-7.359148e+00,-6.596805e+00,-1.409966e+01,-2.591819e+01
1.406250e-01,1.838484e+01,1.158303e+01,-3.811965e+00,-8.615920e+00,-1.338234e+01,-2.346077e+01
1.562500e-01,1.823452e+01,1.232860e+01,-2.506814e-01,-1.085734e+01,-1.366389e+01,-2.253766e+01
1.718750e-01,1.802249e+01,1.293233e+01,2.610531e+00,-1.062006e+01,-1.531977e+01,-2.315239e+01
1.875000e-01,1.782295e+01,1.348149e+01,4.939141e+00,-6.273866e+00,-1.571676e+01,-2.357068e+01
2.031250e-01,1.762629e+01,1.398157e+01,6.822282e+00,-2.076911e+00,-1.118695e+01,-2.095532e+01
2.187500e-01,1.735642e+01,1.429479e+01,8.376450e+00,1.212412e+00,-6.603036e+00,-1.600708e+01
2.343750e-01,1.598800e+01,1.362122e+01,8.536528e+00,2.621670e+00,-4.136265e+00,-1.196202e+01
2.500000e-01,1.068861e+01,8.896135e+00,4.515087e+00,-6.706350e-01,-6.609943e+00,-1.423964e+01
2.656250e-01,-1.901533e+00,-3.809042e+00,-7.403480e+00,-1.180302e+01,-1.671893e+01,-2.354719e+01
2.812500e-01,-3.493623e+01,-3.303557e+01,-3.683913e+01,-4.262829e+01,-4.372287e+01,-5.082368e+01
2.968750e-01,-4.344897e+01,-4.022826e+01,-4.569368e+01,-5.179233e+01,-5.400584e+01,-5.638120e+01
3.125000e-01,-5.695904e+01,-4.714640e+01,-5.522686e+01,-5.500705e+01,-5.945856e+01,-5.731622e+01
3.281250e-01,-5.342671e+01,-5.629126e+01,-5.275674e+01,-5.202577e+01,-5.612100e+01,-5.734348e+01
3.437500e-01,-4.869981e+01,-6.410509e+01,-5.613150e+01,-5.087138e+01,-5.841286e+01,-5.857524e+01
3.593750e-01,-4.976239e+01,-6.638406e+01,-5.509431e+01,-5.215058e+01,-5.814916e+01,-6.122444e+01
3.750000e-01,-5.228816e+01,-6.919354e+01,-5.847800e+01,-5.443454e+01,-6.392967e+01,-6.361371e+01
3.906250e-01,-5.427563e+01,-6.587564e+01,-5.742584e+01,-5.516227e+01,-6.462743e+01,-6.655163e+01
4.062500e-01,-5.365660e+01,-6.738690e+01,-6.271688e+01,-5.602058e+01,-7.065053e+01,-6.618798e+01
4.218750e-01,-5.565440e+01,-6.487150e+01,-6.689473e+01,-5.663378e+01,-6.613199e+01,-6.447985e+01
4.375000e-01,-5.713313e+01,-6.462672e+01,-6.714913e+01,-5.919123e+01,-8.083311e+01,-6.762670e+01
4.531250e-01,-6.135923e+01,-6.261106e+01,-6.297513e+01,-5.938279e+01,-6.655303e+01,-6.744830e+01
4.687500e-01,-6.149641e+01,-6.322727e+01,-6.175578e+01,-6.004045e+01,-7.392197e+01,-7.194359e+01
4.843750e-01,-6.424314e+01,-7.489706e+01,-6.684802e+01,-5.922822e+01,-7.151175e+01,-6.912168e+01
5.000000e-01,-7.773166e+01,-8.087669e+01,-7.093307e+01,-5.677200e+01,-7.304881e+01,-6.725762e+01
