f,SNR
1.000000e+00,9.600814e+00
1.333521e+00,1.086907e+01
1.778279e+00,2.696997e+01
2.371374e+00,3.340544e+01
3.162278e+00,3.538261e+01
4.216965e+00,3.919000e+01
5.623413e+00,4.786940e+01
7.498942e+00,5.282329e+01
1.000000e+01,5.261919e+01
1.333521e+01,5.339515e+01
1.778279e+01,5.587597e+01
2.371374e+01,5.828005e+01
3.162278e+01,6.117868e+01
4.216965e+01,6.370983e+01
5.623413e+01,6.450925e+01
7.498942e+01,6.639397e+01
1.000000e+02,6.842945e+01
1.333521e+02,6.825321e+01
1.778279e+02,6.864593e+01
2.371374e+02,6.887492e+01
3.162278e+02,6.909131e+01
4.216965e+02,6.982719e+01
5.623413e+02,6.853162e+01
7.498942e+02,6.964959e+01
1.000000e+03,6.923913e+01
