f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.986474e+01,-9.255289e+00,1.002063e-01,-2.584498e+01,-3.029337e+01,-4.054567e+01
1.562500e-02,1.984122e+01,-4.422333e+00,-8.466714e-02,-2.063685e+01,-3.196017e+01,-3.698561e+01
3.125000e-02,1.964679e+01,4.382633e-01,-1.055692e+00,-1.667021e+01,-3.842106e+01,-3.491086e+01
4.687500e-02,1.953850e+01,3.581301e+00,-2.427985e+00,-1.434785e+01,-4.199163e+01,-3.195241e+01
6.250000e-02,1.931796e+01,5.821113e+00,-5.069182e+00,-1.324090e+01,-3.234738e+01,-2.977260e+01
7.812500e-02,1.917238e+01,7.549022e+00,-9.321773e+00,-1.359077e+01,-3.081472e+01,-3.027781e+01
9.375000e-02,1.894686e+01,8.907914e+00,-1.733952e+01,-1.611199e+01,-3.230970e+01,-2.975937e+01
1.093750e-01,1.881324e+01,1.005716e+01,-1.097007e+01,-2.278161e+01,-4.546093e+01,-3.448712e+01
1.250000e-01,1.860437e+01,1.105337e+01,-4.091811e+00,-2.282402e+01,-2.424896e+01,-3.198786e+01
1.406250e-01,1.843526e+01,1.185473e+01,-2.452425e-01,-1.230829e+01,-1.657804e+01,-2.272203e+01
1.562500e-01,1.819125e+01,1.254494e+01,2.725720e+00,-6.403475e+00,-1.153848e+01,-1.855244e+01
1.718750e-01,1.804533e+01,1.317129e+01,4.890638e+00,-2.725050e+00,-7.548292e+00,-1.286768e+01
1.875000e-01,1.776673e+01,1.370328e+01,6.864812e+00,1.446617e-01,-5.174287e+00,-1.174379e+01
2.031250e-01,1.732088e+01,1.368416e+01,7.632708e+00,1.973820e+00,-2.277412e+00,-8.529555e+00
2.187500e-01,1.678037e+01,1.361547e+01,8.070112e+00,3.163592e+00,-1.572668e+00,-8.493603e+00
2.343750e-01,1.486273e+01,1.155485e+01,6.613831e+00,1.346552e+00,-3.429220e+00,-1.310387e+01
2.500000e-01,8.834893e+00,6.022765e+00,3.258279e-01,-5.423750e+00,-1.093465e+01,-1.971812e+01
2.656250e-01,-4.134812e+00,-6.228379e+00,-1.140541e+01,-1.637863e+01,-2.239799e+01,-3.136164e+01
2.812500e-01,-2.796905e+01,-4.760927e+01,-4.647197e+01,-4.499695e+01,-4.036077e+01,-3.671783e+01
2.968750e-01,-3.265530e+01,-3.828894e+01,-3.776558e+01,-3.586637e+01,-3.925886e+01,-4.270844e+01
3.125000e-01,-3.688106e+01,-4.234334e+01,-4.044044e+01,-3.781041e+01,-4.167845e+01,-4.271459e+01
3.281250e-01,-3.790871e+01,-4.145878e+01,-4.153341e+01,-4.063870e+01,-4.517264e+01,-4.337066e+01
3.437500e-01,-5.012811e+01,-4.213552e+01,-4.113560e+01,-4.444589e+01,-5.074506e+01,-4.591062e+01
3.593750e-01,-5.022809e+01,-4.321538e+01,-4.431435e+01,-4.623319e+01,-6.491204e+01,-4.690140e+01
3.750000e-01,-5.014157e+01,-4.869639e+01,-4.583545e+01,-4.226669e+01,-4.471983e+01,-4.615855e+01
3.906250e-01,-4.981845e+01,-6.496859e+01,-5.553125e+01,-4.928861e+01,-4.642809e+01,-4.525232e+01
4.062500e-01,-4.648123e+01,-5.330115e+01,-5.296586e+01,-4.968398e+01,-4.710743e+01,-4.545189e+01
4.218750e-01,-5.122491e+01,-4.686355e+01,-4.751287e+01,-4.845709e+01,-4.554397e+01,-4.455849e+01
4.375000e-01,-4.888022e+01,-5.928834e+01,-5.286816e+01,-5.157708e+01,-5.005217e+01,-4.630794e+01
4.531250e-01,-5.089047e+01,-5.277853e+01,-5.734330e+01,-5.188284e+01,-5.088889e+01,-4.541166e+01
4.687500e-01,-5.093247e+01,-4.947447e+01,-5.415572e+01,-5.126839e+01,-4.983987e+01,-4.456793e+01
4.843750e-01,-5.581518e+01,-4.980411e+01,-5.300131e+01,-4.960632e+01,-5.241887e+01,-4.692598e+01
5.000000e-01,-6.189553e+01,-5.031121e+01,-5.946885e+01,-5.531375e+01,-5.353103e+01,-4.770692e+01
