f,SNR
1.000000e+00,1.336701e+01
1.333521e+00,1.542433e+01
1.778279e+00,2.586917e+01
2.371374e+00,3.329557e+01
3.162278e+00,3.620861e+01
4.216965e+00,4.200530e+01
5.623413e+00,4.769594e+01
7.498942e+00,5.063442e+01
1.000000e+01,5.367251e+01
1.333521e+01,5.396040e+01
1.778279e+01,5.611110e+01
2.371374e+01,5.714909e+01
3.162278e+01,5.606564e+01
4.216965e+01,5.876112e+01
5.623413e+01,6.034445e+01
7.498942e+01,6.131863e+01
1.000000e+02,6.164773e+01
1.333521e+02,6.118658e+01
1.778279e+02,6.416429e+01
2.371374e+02,6.233101e+01
3.162278e+02,6.426900e+01
4.216965e+02,6.337773e+01
5.623413e+02,6.225265e+01
7.498942e+02,6.298472e+01
1.000000e+03,6.291506e+01
