f,SNR
1.000000e+00,1.971928e+01
1.333521e+00,2.376513e+01
1.778279e+00,2.455576e+01
2.371374e+00,3.109154e+01
3.162278e+00,3.626404e+01
4.216965e+00,4.120884e+01
5.623413e+00,4.637544e+01
7.498942e+00,4.899362e+01
1.000000e+01,5.352936e+01
1.333521e+01,5.604053e+01
1.778279e+01,5.754437e+01
2.371374e+01,5.775081e+01
3.162278e+01,6.027337e+01
4.216965e+01,6.314788e+01
5.623413e+01,6.332527e+01
7.498942e+01,6.518691e+01
1.000000e+02,6.567329e+01
1.333521e+02,6.698071e+01
1.778279e+02,6.467887e+01
2.371374e+02,6.704078e+01
3.162278e+02,6.716171e+01
4.216965e+02,6.721344e+01
5.623413e+02,6.674684e+01
7.498942e+02,7.120478e+01
1.000000e+03,6.808197e+01
