f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.986866e+01,-2.124460e+00,-4.511857e+00,-2.942363e+01,-1.865654e+01,-3.038127e+01
1.562500e-02,1.984258e+01,-5.660495e-01,-4.890425e+00,-3.620983e+01,-1.736508e+01,-2.628035e+01
3.125000e-02,1.966536e+01,2.123243e+00,-5.876350e+00,-2.941177e+01,-1.900493e+01,-2.402743e+01
4.687500e-02,1.950056e+01,4.526911e+00,-6.743323e+00,-2.068881e+01,-1.868603e+01,-2.118240e+01
6.250000e-02,1.931356e+01,6.398510e+00,-7.416814e+00,-1.676635e+01,-2.063273e+01,-2.123170e+01
7.812500e-02,1.917000e+01,8.068132e+00,-5.531207e+00,-1.169030e+01,-1.811766e+01,-2.070020e+01
9.375000e-02,1.897201e+01,9.293295e+00,-3.149161e+00,-8.941477e+00,-1.587044e+01,-2.217515e+01
1.093750e-01,1.876801e+01,1.033149e+01,-5.653282e-01,-5.235984e+00,-1.088419e+01,-2.078200e+01
1.250000e-01,1.850825e+01,1.111256e+01,1.621193e+00,-3.043995e+00,-7.785358e+00,-1.620844e+01
1.406250e-01,1.830635e+01,1.181700e+01,3.593036e+00,-8.620860e-01,-5.358859e+00,-1.377052e+01
1.562500e-01,1.811442e+01,1.256147e+01,5.541809e+00,1.347139e+00,-2.551680e+00,-8.893199e+00
1.718750e-01,1.751034e+01,1.250899e+01,5.961121e+00,2.006305e+00,-1.638584e+00,-8.781423e+00
1.875000e-01,1.668818e+01,1.183281e+01,5.659747e+00,1.404468e+00,-1.648253e+00,-8.000523e+00
2.031250e-01,1.618626e+01,1.170727e+01,5.547893e+00,1.460767e+00,-1.648525e+00,-6.796151e+00
2.187500e-01,1.562119e+01,1.128759e+01,5.304358e+00,2.373742e-01,-2.484575e+00,-7.676482e+00
2.343750e-01,1.328582e+01,8.891356e+00,2.424111e+00,-3.600443e+00,-6.215421e+00,-1.085815e+01
2.500000e-01,7.605986e+00,3.624643e+00,-2.837567e+00,-1.035981e+01,-1.745910e+01,-1.987628e+01
2.656250e-01,-5.001368e+00,-9.262139e+00,-1.571885e+01,-2.282936e+01,-2.553014e+01,-2.949117e+01
2.812500e-01,-3.677693e+01,-3.528738e+01,-4.173103e+01,-4.637891e+01,-5.789126e+01,-4.017901e+01
2.968750e-01,-3.754431e+01,-3.565840e+01,-4.131943e+01,-4.585541e+01,-5.004616e+01,-5.963032e+01
3.125000e-01,-4.056368e+01,-4.099207e+01,-4.500556e+01,-5.161112e+01,-5.948357e+01,-5.338830e+01
3.281250e-01,-3.934357e+01,-4.267029e+01,-4.904414e+01,-6.010580e+01,-5.213788e+01,-5.778720e+01
3.437500e-01,-4.037712e+01,-4.289807e+01,-4.996419e+01,-5.501273e+01,-5.373477e+01,-5.903821e+01
3.593750e-01,-4.086531e+01,-4.449850e+01,-5.321889e+01,-6.407921e+01,-5.473580e+01,-5.240372e+01
3.750000e-01,-4.060966e+01,-4.512749e+01,-5.283781e+01,-5.274311e+01,-5.342292e+01,-5.235412e+01
3.906250e-01,-4.172141e+01,-4.871272e+01,-5.272692e+01,-4.879736e+01,-5.215295e+01,-5.801268e+01
4.062500e-01,-4.356486e+01,-5.633859e+01,-5.472827e+01,-4.884309e+01,-4.921621e+01,-5.987696e+01
4.218750e-01,-4.312085e+01,-4.918795e+01,-5.515089e+01,-4.771356e+01,-4.775342e+01,-5.521834e+01
4.375000e-01,-4.091669e+01,-4.619231e+01,-4.881252e+01,-4.486259e+01,-4.708612e+01,-5.400585e+01
4.531250e-01,-4.180551e+01,-4.912517e+01,-4.822744e+01,-4.446443e+01,-4.643046e+01,-5.826065e+01
4.687500e-01,-4.535699e+01,-5.728545e+01,-5.080971e+01,-4.751615e+01,-4.695888e+01,-5.572524e+01
4.843750e-01,-4.358347e+01,-5.412162e+01,-4.755960e+01,-4.472311e+01,-4.646678e+01,-5.423695e+01
5.000000e-01,-4.793312e+01,-5.216244e+01,-5.032347e+01,-4.725602e+01,-4.811923e+01,-1.044776e+02
