f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.990347e+01,-3.580143e+01,3.628050e+00,-6.119279e+01,-1.268840e+01,-3.172242e+01
1.562500e-02,1.984065e+01,-6.284616e+00,3.449509e+00,-1.668316e+01,-1.326978e+01,-2.850400e+01
3.125000e-02,1.967532e+01,-4.248764e-01,2.835241e+00,-1.090554e+01,-1.481414e+01,-2.343942e+01
4.687500e-02,1.951233e+01,2.916361e+00,1.921024e+00,-7.991049e+00,-1.760964e+01,-2.180465e+01
6.250000e-02,1.934008e+01,5.250630e+00,5.561362e-01,-6.152287e+00,-2.340670e+01,-2.111741e+01
7.812500e-02,1.915854e+01,7.014768e+00,-1.474590e+00,-5.204928e+00,-4.680650e+01,-2.177554e+01
9.375000e-02,1.900245e+01,8.441046e+00,-4.555607e+00,-4.760907e+00,-2.208844e+01,-2.437279e+01
1.093750e-01,1.880124e+01,9.572623e+00,-1.052590e+01,-4.947322e+00,-1.653522e+01,-3.068964e+01
1.250000e-01,1.862896e+01,1.056415e+01,-3.311365e+01,-5.798173e+00,-1.381415e+01,-3.409672e+01
1.406250e-01,1.842423e+01,1.137704e+01,-8.838725e+00,-7.749664e+00,-1.240030e+01,-2.598680e+01
1.562500e-01,1.823667e+01,1.210781e+01,-2.700424e+00,-1.179806e+01,-1.241948e+01,-2.212304e+01
1.718750e-01,1.803788e+01,1.273085e+01,1.013769e+00,-2.482724e+01,-1.397246e+01,-2.092507e+01
1.875000e-01,1.783006e+01,1.326828e+01,3.715038e+00,-1.390973e+01,-1.959326e+01,-2.200839e+01
2.031250e-01,1.764666e+01,1.379126e+01,5.865187e+00,-5.832065e+00,-2.956265e+01,-2.866298e+01
2.187500e-01,1.738947e+01,1.418526e+01,7.587232e+00,-1.183728e+00,-1.239703e+01,-2.825720e+01
2.343750e-01,1.611789e+01,1.349777e+01,8.003131e+00,1.042792e+00,-7.155446e+00,-1.782917e+01
2.500000e-01,1.103610e+01,8.917746e+00,4.303619e+00,-1.378357e+00,-8.083020e+00,-1.692179e+01
2.656250e-01,-1.551326e+00,-3.177582e+00,-6.977691e+00,-1.163833e+01,-1.732296e+01,-2.563809e+01
2.812500e-01,-3.362470e+01,-3.441174e+01,-3.666244e+01,-4.111992e+01,-4.680647e+01,-5.443137e+01
2.968750e-01,-4.081110e+01,-4.126687e+01,-4.334566e+01,-4.682859e+01,-5.192957e+01,-5.668733e+01
3.125000e-01,-5.404619e+01,-5.345500e+01,-5.552934e+01,-5.927377e+01,-6.107966e+01,-6.275032e+01
3.281250e-01,-6.035861e+01,-6.778654e+01,-6.401649e+01,-6.313855e+01,-6.484423e+01,-7.750100e+01
3.437500e-01,-5.544109e+01,-5.752142e+01,-6.371393e+01,-6.460338e+01,-6.818142e+01,-8.069840e+01
3.593750e-01,-5.351197e+01,-5.640102e+01,-5.758849e+01,-5.731301e+01,-6.032703e+01,-6.913640e+01
3.750000e-01,-5.785644e+01,-5.973429e+01,-6.143541e+01,-6.212897e+01,-6.565828e+01,-7.724004e+01
3.906250e-01,-5.962328e+01,-6.135002e+01,-6.093102e+01,-6.199094e+01,-6.650964e+01,-7.241519e+01
4.062500e-01,-6.622061e+01,-6.824025e+01,-6.577191e+01,-6.788399e+01,-6.990394e+01,-8.598725e+01
4.218750e-01,-6.556985e+01,-7.307535e+01,-7.169337e+01,-7.279748e+01,-7.701199e+01,-7.643785e+01
4.375000e-01,-6.428948e+01,-7.031815e+01,-6.775422e+01,-6.719037e+01,-7.258064e+01,-9.552918e+01
4.531250e-01,-6.489958e+01,-7.148525e+01,-7.119035e+01,-7.164649e+01,-7.434745e+01,-9.337096e+01
4.687500e-01,-6.927316e+01,-7.471332e+01,-7.022209e+01,-7.281758e+01,-7.542934e+01,-7.483107e+01
4.843750e-01,-7.031958e+01,-7.288588e+01,-7.127136e+01,-7.349926e+01,-7.980310e+01,-7.979019e+01
5.000000e-01,-7.691641e+01,-7.616675e+01,-7.763419e+01,-7.201510e+01,-7.468577e+01,-7.420732e+01
