f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,-4.587675e+00,-1.232923e+01,-2.968888e+01,-2.317512e+01,-1.283823e+01,-3.225125e+01
1.562500e-02,-1.184177e+01,-1.298727e+01,-1.013939e+01,-1.889824e+01,-1.855460e+01,-2.116051e+01
3.125000e-02,-1.320928e+01,-1.585546e+01,-2.286353e+01,-1.235877e+01,-3.041884e+01,-2.103918e+01
4.687500e-02,-1.134294e+01,-1.037846e+01,-1.470061e+01,-1.966865e+01,-2.062964e+01,-2.498406e+01
6.250000e-02,-9.017417e+00,-1.265500e+01,-2.099380e+01,-1.652632e+01,-1.082938e+01,-1.889359e+01
7.812500e-02,-7.299173e+00,-9.778787e+00,-1.374356e+01,-1.850906e+01,-1.667219e+01,-2.352673e+01
9.375000e-02,-1.550379e+01,-2.139149e+01,-2.329531e+01,-2.469036e+01,-2.392711e+01,-1.452895e+01
1.093750e-01,-1.234392e+01,-1.135088e+01,-1.826397e+01,-1.838708e+01,-1.017562e+01,-2.047568e+01
1.250000e-01,-1.382336e+01,-2.266805e+01,-2.290098e+01,-1.779327e+01,-3.715213e+01,-2.055711e+01
1.406250e-01,-9.433549e+00,-1.443876e+01,-2.177555e+01,-1.572603e+01,-2.107543e+01,-2.422307e+01
1.562500e-01,-1.146342e+01,-1.297898e+01,-1.615232e+01,-2.240368e+01,-1.952359e+01,-2.376118e+01
1.718750e-01,-9.592678e+00,-2.189094e+01,-2.377249e+01,-1.825610e+01,-1.589020e+01,-1.545011e+01
1.875000e-01,-8.102068e+00,-2.270338e+01,-3.269890e+01,-1.886118e+01,-1.563974e+01,-2.340939e+01
2.031250e-01,-1.230226e+01,-2.176065e+01,-2.788003e+01,-2.410098e+01,-1.272902e+01,-2.173755e+01
2.187500e-01,-1.021808e+01,-1.156115e+01,-2.025030e+01,-1.211689e+01,-1.327231e+01,-2.987798e+01
2.343750e-01,-6.964843e+00,-1.003001e+01,-1.233905e+01,-1.269197e+01,-2.027632e+01,-1.710155e+01
2.500000e-01,-9.845739e+00,-3.559256e+01,-2.458556e+01,-3.259392e+01,-2.459976e+01,-2.784149e+01
2.656250e-01,-3.030057e+01,-2.248021e+01,-2.549490e+01,-3.636957e+01,-3.226060e+01,-2.987566e+01
2.812500e-01,-2.869980e+01,-3.879398e+01,-3.114228e+01,-3.497482e+01,-3.128220e+01,-4.487622e+01
2.968750e-01,-2.612078e+01,-3.093666e+01,-3.574550e+01,-4.573432e+01,-3.416157e+01,-6.457778e+01
3.125000e-01,-2.582426e+01,-3.238476e+01,-3.953847e+01,-4.243544e+01,-2.940578e+01,-4.172233e+01
3.281250e-01,-2.778425e+01,-3.301684e+01,-3.221294e+01,-4.311975e+01,-3.399676e+01,-5.208716e+01
3.437500e-01,-2.926077e+01,-3.195402e+01,-3.308446e+01,-5.290731e+01,-3.376509e+01,-3.759210e+01
3.593750e-01,-2.423620e+01,-2.718698e+01,-3.117703e+01,-3.523744e+01,-3.306836e+01,-4.590263e+01
3.750000e-01,-2.325401e+01,-2.691089e+01,-3.327072e+01,-3.527547e+01,-3.731130e+01,-3.726152e+01
3.906250e-01,-2.298268e+01,-2.523115e+01,-2.975014e+01,-3.362063e+01,-3.412357e+01,-4.175106e+01
4.062500e-01,-2.362425e+01,-2.625975e+01,-3.134213e+01,-3.346350e+01,-4.167471e+01,-3.833623e+01
4.218750e-01,-2.299590e+01,-2.543251e+01,-3.200052e+01,-2.984348e+01,-3.688728e+01,-3.866405e+01
4.375000e-01,-2.215563e+01,-2.425043e+01,-2.656707e+01,-2.922514e+01,-3.031939e+01,-4.216730e+01
4.531250e-01,-2.353725e+01,-2.618834e+01,-2.839165e+01,-2.924331e+01,-3.052717e+01,-4.123426e+01
4.687500e-01,-3.287756e+01,-3.565021e+01,-3.284247e+01,-3.348933e+01,-3.307255e+01,-4.956622e+01
4.843750e-01,-2.972477e+01,-3.104775e+01,-3.154970e+01,-3.082891e+01,-4.289957e+01,-4.185661e+01
5.000000e-01,-3.276657e+01,-3.589412e+01,-4.592742e+01,-3.214269e+01,-4.589428e+01,-4.383043e+01
