f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.620740e+01,8.943141e+00,3.452079e+00,8.480882e+00,3.663823e+00,-3.813634e+01
1.562500e-02,1.538512e+01,6.585286e+00,4.781858e+00,8.747440e+00,3.971489e+00,-1.612536e+01
3.125000e-02,1.529902e+01,8.052296e+00,5.316808e+00,6.561859e+00,-7.726296e-01,-1.316718e+01
4.687500e-02,1.558302e+01,8.571901e+00,5.470020e+00,7.085974e+00,1.490294e+00,-8.595267e+00
6.250000e-02,1.553869e+01,8.794955e+00,2.342158e+00,4.276958e+00,-6.691177e-01,-1.473674e+01
7.812500e-02,1.514220e+01,8.858106e+00,2.278215e+00,3.385552e+00,-9.386162e-01,-8.019960e+00
9.375000e-02,1.446106e+01,8.097822e+00,7.609097e-01,4.830726e-01,-2.643613e+00,-1.140341e+01
1.093750e-01,1.451347e+01,7.287031e+00,4.324614e-01,1.863274e+00,-5.951403e-01,-1.154799e+01
1.250000e-01,1.360193e+01,6.247720e+00,-4.995351e-01,-1.697388e+00,-3.777119e+00,-8.318518e+00
1.406250e-01,1.372429e+01,5.441032e+00,-7.434009e-01,-1.606788e+00,-7.373701e+00,-1.479597e+01
1.562500e-01,1.357505e+01,4.751949e+00,-1.844433e+00,-4.621903e+00,-1.085350e+01,-1.601695e+01
1.718750e-01,1.283102e+01,3.528037e+00,-1.537492e+00,-3.314183e+00,-9.530575e+00,-1.416229e+01
1.875000e-01,1.249562e+01,1.869208e+00,-1.468599e+00,-6.198239e+00,-6.542430e+00,-1.810058e+01
2.031250e-01,1.234335e+01,1.230239e+00,-7.551061e-01,-6.171554e+00,-9.668473e+00,-1.592483e+01
2.187500e-01,1.230075e+01,8.768291e-01,-3.527243e+00,-1.031931e+01,-9.923400e+00,-1.244677e+01
2.343750e-01,1.092978e+01,-1.443019e+00,-4.212892e+00,-9.517145e+00,-1.280299e+01,-2.170611e+01
2.500000e-01,5.831418e+00,-4.897921e+00,-7.685783e+00,-1.668952e+01,-2.334630e+01,-2.604222e+01
2.656250e-01,-6.995631e+00,-1.820574e+01,-2.102635e+01,-2.531961e+01,-2.795691e+01,-2.890293e+01
2.812500e-01,-3.218455e+01,-3.592821e+01,-3.135467e+01,-3.652455e+01,-4.174996e+01,-3.495111e+01
2.968750e-01,-3.748770e+01,-3.372770e+01,-3.379833e+01,-3.668910e+01,-3.801640e+01,-3.703084e+01
3.125000e-01,-3.849878e+01,-3.429556e+01,-3.066567e+01,-3.357898e+01,-3.848156e+01,-3.882843e+01
3.281250e-01,-5.087001e+01,-3.836124e+01,-3.325065e+01,-3.964223e+01,-3.987870e+01,-3.867041e+01
3.437500e-01,-4.110908e+01,-3.699706e+01,-3.287369e+01,-3.793431e+01,-4.346763e+01,-3.553454e+01
3.593750e-01,-5.322304e+01,-3.875979e+01,-3.131386e+01,-3.482618e+01,-3.863944e+01,-3.809368e+01
3.750000e-01,-3.445712e+01,-3.364529e+01,-3.297054e+01,-3.611361e+01,-3.781860e+01,-3.563236e+01
3.906250e-01,-3.733236e+01,-3.354812e+01,-3.064759e+01,-3.424514e+01,-3.677151e+01,-3.623820e+01
4.062500e-01,-3.454227e+01,-3.155716e+01,-3.166966e+01,-3.859138e+01,-4.347635e+01,-3.765871e+01
4.218750e-01,-3.112952e+01,-2.868175e+01,-2.972485e+01,-3.678574e+01,-3.959945e+01,-4.040759e+01
4.375000e-01,-3.763004e+01,-3.246021e+01,-3.230404e+01,-3.632309e+01,-3.563278e+01,-3.323217e+01
4.531250e-01,-3.308367e+01,-3.194452e+01,-3.368499e+01,-4.046283e+01,-4.066527e+01,-3.524800e+01
4.687500e-01,-3.471494e+01,-2.942447e+01,-2.896467e+01,-3.453211e+01,-3.946096e+01,-4.092182e+01
4.843750e-01,-5.064246e+01,-3.884703e+01,-3.237786e+01,-3.538002e+01,-3.976060e+01,-3.572395e+01
5.000000e-01,-6.704121e+01,-5.167154e+01,-4.119663e+01,-4.510033e+01,-4.671858e+01,-4.136800e+01
