f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.561607e+01,8.796015e+00,-1.698370e+00,7.220837e+00,4.552902e+00,-9.737387e+00
1.562500e-02,1.547622e+01,8.745593e+00,1.314013e+00,8.056727e+00,4.101316e+00,-9.919088e+00
3.125000e-02,1.584041e+01,8.094666e+00,3.863378e+00,7.510631e+00,3.376817e+00,-6.778957e+00
4.687500e-02,1.550732e+01,8.798108e+00,1.940729e+00,6.464616e+00,2.742925e+00,-7.019988e+00
6.250000e-02,1.504986e+01,9.608110e+00,2.306882e+00,4.742764e+00,2.502925e+00,-8.651918e+00
7.812500e-02,1.456322e+01,8.025828e+00,3.692691e-01,7.844022e-01,-4.336036e-01,-8.209270e+00
9.375000e-02,1.406617e+01,7.979933e+00,1.951054e-01,2.015274e+00,-6.678864e-01,-1.018367e+01
1.093750e-01,1.438379e+01,7.303910e+00,1.940102e+00,1.984935e+00,-8.289518e-01,-9.113692e+00
1.250000e-01,1.349607e+01,6.760571e+00,1.019781e+00,-2.121821e+00,-3.616152e+00,-8.115212e+00
1.406250e-01,1.355518e+01,5.482600e+00,6.635752e-01,-4.916767e-02,-3.381040e+00,-1.031092e+01
1.562500e-01,1.295745e+01,6.015476e+00,2.192973e+00,-3.100404e+00,-7.361082e+00,-1.021093e+01
1.718750e-01,1.267227e+01,4.486109e+00,6.310915e-01,-4.694615e+00,-8.893016e+00,-1.640586e+01
1.875000e-01,1.264831e+01,3.907788e+00,-3.833081e-01,-3.704189e+00,-8.173174e+00,-1.696624e+01
2.031250e-01,1.227784e+01,3.082321e+00,6.309717e-01,-5.253650e+00,-9.141174e+00,-1.284629e+01
2.187500e-01,1.213269e+01,3.296188e+00,3.592364e-02,-7.296654e+00,-1.030550e+01,-1.543897e+01
2.343750e-01,1.076966e+01,1.294511e+00,-2.730784e+00,-8.563179e+00,-1.302767e+01,-1.784620e+01
2.500000e-01,5.814931e+00,-3.037664e+00,-5.990844e+00,-1.029733e+01,-1.264543e+01,-2.247238e+01
2.656250e-01,-7.193055e+00,-1.671794e+01,-1.833056e+01,-2.776381e+01,-3.057405e+01,-3.370205e+01
2.812500e-01,-2.983789e+01,-3.493775e+01,-3.443724e+01,-3.922217e+01,-3.933647e+01,-3.282899e+01
2.968750e-01,-4.438344e+01,-4.810941e+01,-3.140690e+01,-4.670984e+01,-4.181751e+01,-3.344620e+01
3.125000e-01,-3.025444e+01,-4.127829e+01,-3.546469e+01,-4.545521e+01,-4.430623e+01,-3.522668e+01
3.281250e-01,-3.146428e+01,-4.135542e+01,-3.359996e+01,-5.649823e+01,-4.281141e+01,-3.310992e+01
3.437500e-01,-3.167115e+01,-4.012542e+01,-3.398057e+01,-4.323088e+01,-4.537426e+01,-3.323231e+01
3.593750e-01,-2.645228e+01,-3.107758e+01,-2.966354e+01,-3.772740e+01,-3.710791e+01,-3.187972e+01
3.750000e-01,-2.654374e+01,-2.976405e+01,-2.883988e+01,-4.281905e+01,-3.661485e+01,-3.199416e+01
3.906250e-01,-2.961152e+01,-3.254870e+01,-3.133667e+01,-4.612756e+01,-3.594923e+01,-3.329591e+01
4.062500e-01,-2.765552e+01,-2.898863e+01,-2.880531e+01,-4.022334e+01,-3.967237e+01,-3.416242e+01
4.218750e-01,-2.780201e+01,-2.890169e+01,-2.802624e+01,-3.905513e+01,-4.545811e+01,-3.416020e+01
4.375000e-01,-2.757816e+01,-2.684009e+01,-2.659857e+01,-3.297672e+01,-6.119896e+01,-3.363440e+01
4.531250e-01,-3.023270e+01,-2.931478e+01,-2.786998e+01,-3.543527e+01,-5.970305e+01,-3.622943e+01
4.687500e-01,-3.577915e+01,-3.519033e+01,-3.198332e+01,-3.990116e+01,-4.013544e+01,-3.709553e+01
4.843750e-01,-4.789223e+01,-3.802350e+01,-3.943236e+01,-4.622633e+01,-4.148246e+01,-3.711241e+01
5.000000e-01,-3.529337e+01,-4.639602e+01,-4.094027e+01,-5.461250e+01,-5.104050e+01,-4.932486e+01
