f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.988992e+01,-8.723495e+00,-8.751214e+00,-3.268502e+01,-1.560405e+01,-3.520962e+01
1.562500e-02,1.983198e+01,-3.789642e+00,-8.887105e+00,-3.008489e+01,-1.566473e+01,-2.820634e+01
3.125000e-02,1.968361e+01,8.040477e-01,-1.121816e+01,-2.350170e+01,-1.702060e+01,-2.241163e+01
4.687500e-02,1.951733e+01,3.900441e+00,-1.233769e+01,-1.813831e+01,-1.904316e+01,-2.049307e+01
6.250000e-02,1.934526e+01,6.087407e+00,-1.145621e+01,-1.378158e+01,-2.293669e+01,-2.054186e+01
7.812500e-02,1.915834e+01,7.812779e+00,-7.168337e+00,-1.004463e+01,-2.068206e+01,-2.254594e+01
9.375000e-02,1.899840e+01,9.204590e+00,-3.042108e+00,-6.745046e+00,-1.402514e+01,-2.652698e+01
1.093750e-01,1.876870e+01,1.025921e+01,-2.944665e-01,-3.804139e+00,-9.804065e+00,-2.068145e+01
1.250000e-01,1.862028e+01,1.123244e+01,2.386827e+00,-1.049464e+00,-5.534516e+00,-1.495024e+01
1.406250e-01,1.839345e+01,1.185994e+01,3.827827e+00,5.684620e-01,-3.607518e+00,-1.162871e+01
1.562500e-01,1.801997e+01,1.242578e+01,5.583725e+00,2.081649e+00,-1.986496e+00,-8.500728e+00
1.718750e-01,1.745775e+01,1.216644e+01,5.488764e+00,2.226231e+00,-9.272792e-01,-7.477048e+00
1.875000e-01,1.702990e+01,1.224654e+01,6.011891e+00,3.358651e+00,9.568573e-01,-5.589038e+00
2.031250e-01,1.602044e+01,1.147169e+01,5.243098e+00,2.098142e+00,-2.069789e+00,-8.758238e+00
2.187500e-01,1.487223e+01,9.694096e+00,1.821768e+00,-2.872004e+00,-5.677209e+00,-9.056059e+00
2.343750e-01,1.302629e+01,7.669735e+00,-2.641267e-02,-7.116160e+00,-7.526592e+00,-1.235175e+01
2.500000e-01,7.523447e+00,3.155748e+00,-4.307453e+00,-1.022787e+01,-1.135993e+01,-1.731451e+01
2.656250e-01,-4.524850e+00,-7.831900e+00,-1.375865e+01,-1.934744e+01,-2.160841e+01,-2.959561e+01
2.812500e-01,-3.080303e+01,-2.976748e+01,-2.973504e+01,-3.042719e+01,-3.029823e+01,-5.145521e+01
2.968750e-01,-3.276264e+01,-3.321434e+01,-3.428972e+01,-3.541984e+01,-3.285965e+01,-4.452167e+01
3.125000e-01,-3.603720e+01,-4.040392e+01,-4.392883e+01,-4.622717e+01,-3.458728e+01,-4.669080e+01
3.281250e-01,-4.108002e+01,-3.695182e+01,-3.813760e+01,-4.103178e+01,-3.585578e+01,-4.504482e+01
3.437500e-01,-4.376326e+01,-4.568295e+01,-4.341725e+01,-4.156156e+01,-3.770456e+01,-4.811871e+01
3.593750e-01,-3.838339e+01,-4.353073e+01,-4.876543e+01,-4.494742e+01,-3.784533e+01,-6.114619e+01
3.750000e-01,-4.310225e+01,-4.746316e+01,-4.426461e+01,-4.957625e+01,-4.125038e+01,-6.142716e+01
3.906250e-01,-3.753250e+01,-4.169667e+01,-4.532532e+01,-4.296534e+01,-3.861930e+01,-4.912225e+01
4.062500e-01,-4.053789e+01,-4.440236e+01,-4.531231e+01,-4.689542e+01,-4.113202e+01,-5.291250e+01
4.218750e-01,-3.929343e+01,-4.159706e+01,-4.624208e+01,-4.431791e+01,-4.245981e+01,-5.833433e+01
4.375000e-01,-4.074709e+01,-4.660608e+01,-4.570597e+01,-4.610021e+01,-4.167581e+01,-5.183454e+01
4.531250e-01,-4.028273e+01,-4.784800e+01,-4.702548e+01,-4.709571e+01,-4.131493e+01,-5.182442e+01
4.687500e-01,-3.919515e+01,-4.481938e+01,-4.398358e+01,-4.421264e+01,-4.012417e+01,-4.967880e+01
4.843750e-01,-3.706296e+01,-4.420514e+01,-4.284029e+01,-4.576429e+01,-4.091813e+01,-4.969912e+01
5.000000e-01,-4.119462e+01,-5.228834e+01,-5.607068e+01,-5.173136e+01,-5.015123e+01,-5.012879e+01
