f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.989747e+01,-8.167711e+00,-7.325349e-01,-2.592858e+01,-4.325448e+01,-4.189183e+01
1.562500e-02,1.982394e+01,-3.934342e+00,-1.140374e+00,-2.268315e+01,-3.418561e+01,-3.461837e+01
3.125000e-02,1.967655e+01,6.091335e-01,-2.003189e+00,-1.844258e+01,-3.234710e+01,-2.955760e+01
4.687500e-02,1.950429e+01,3.671696e+00,-3.688111e+00,-1.649484e+01,-2.920372e+01,-2.905957e+01
6.250000e-02,1.933392e+01,5.889500e+00,-6.015611e+00,-1.572647e+01,-2.936820e+01,-2.619120e+01
7.812500e-02,1.914714e+01,7.611560e+00,-9.344483e+00,-1.564964e+01,-2.684155e+01,-2.641583e+01
9.375000e-02,1.900609e+01,9.003486e+00,-1.033323e+01,-1.587995e+01,-2.706307e+01,-2.935199e+01
1.093750e-01,1.879170e+01,1.012383e+01,-5.876549e+00,-1.412748e+01,-2.278439e+01,-3.106537e+01
1.250000e-01,1.861264e+01,1.108221e+01,-1.990241e+00,-1.012692e+01,-1.582928e+01,-2.978711e+01
1.406250e-01,1.841120e+01,1.187200e+01,1.191748e+00,-6.244709e+00,-1.159400e+01,-1.954751e+01
1.562500e-01,1.823908e+01,1.262598e+01,3.515447e+00,-3.035524e+00,-7.614755e+00,-1.582211e+01
1.718750e-01,1.794488e+01,1.306071e+01,5.595526e+00,-2.398828e-01,-4.880863e+00,-1.142654e+01
1.875000e-01,1.761349e+01,1.333155e+01,6.707562e+00,1.535942e+00,-2.123972e+00,-8.386966e+00
2.031250e-01,1.713467e+01,1.341657e+01,7.461376e+00,2.152214e+00,-1.745258e+00,-7.434763e+00
2.187500e-01,1.638929e+01,1.279322e+01,7.313855e+00,2.581894e+00,-2.303157e+00,-7.754088e+00
2.343750e-01,1.457351e+01,1.136505e+01,5.262464e+00,3.538239e-01,-4.176509e+00,-1.021224e+01
2.500000e-01,9.077683e+00,6.162160e+00,6.078088e-01,-4.325081e+00,-1.009884e+01,-1.477534e+01
2.656250e-01,-4.138784e+00,-7.354537e+00,-1.288597e+01,-1.889782e+01,-2.526139e+01,-2.944312e+01
2.812500e-01,-3.932680e+01,-3.919944e+01,-3.990705e+01,-4.244417e+01,-3.673046e+01,-3.874133e+01
2.968750e-01,-3.699737e+01,-4.444300e+01,-4.185886e+01,-5.441091e+01,-4.588344e+01,-4.342175e+01
3.125000e-01,-4.168099e+01,-4.453882e+01,-4.640761e+01,-5.542903e+01,-5.377678e+01,-5.251906e+01
3.281250e-01,-4.601506e+01,-4.628486e+01,-4.406366e+01,-5.991028e+01,-5.159508e+01,-6.117280e+01
3.437500e-01,-4.243536e+01,-4.574828e+01,-5.350566e+01,-5.488674e+01,-5.635160e+01,-5.294490e+01
3.593750e-01,-4.204822e+01,-4.145967e+01,-4.949271e+01,-5.201168e+01,-5.259354e+01,-5.477817e+01
3.750000e-01,-4.296823e+01,-4.333338e+01,-5.045243e+01,-5.420099e+01,-5.823164e+01,-5.640820e+01
3.906250e-01,-4.574194e+01,-4.812539e+01,-5.469795e+01,-5.433512e+01,-5.355167e+01,-5.994832e+01
4.062500e-01,-4.494183e+01,-4.619593e+01,-5.329290e+01,-5.419959e+01,-5.085584e+01,-7.126439e+01
4.218750e-01,-4.213748e+01,-4.639754e+01,-5.458883e+01,-5.509195e+01,-5.104072e+01,-5.676769e+01
4.375000e-01,-4.534855e+01,-4.977175e+01,-5.996309e+01,-6.225845e+01,-5.887802e+01,-5.618979e+01
4.531250e-01,-4.338310e+01,-4.430402e+01,-4.835586e+01,-4.918747e+01,-4.922927e+01,-5.398396e+01
4.687500e-01,-4.481895e+01,-4.840168e+01,-5.079642e+01,-5.417112e+01,-5.131887e+01,-6.615884e+01
4.843750e-01,-4.351670e+01,-4.651572e+01,-4.866472e+01,-5.371059e+01,-4.867208e+01,-5.643482e+01
5.000000e-01,-4.546422e+01,-5.561670e+01,-5.353473e+01,-5.863019e+01,-5.726777e+01,-5.749307e+01
