f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.989336e+01,-1.343681e+01,3.609876e+00,-2.338683e+01,-1.294203e+01,-2.944769e+01
1.562500e-02,1.982376e+01,-5.582224e+00,3.444334e+00,-1.550399e+01,-1.326182e+01,-2.646365e+01
3.125000e-02,1.967854e+01,-2.371495e-01,2.876300e+00,-1.063050e+01,-1.476708e+01,-2.337935e+01
4.687500e-02,1.951494e+01,3.028450e+00,1.959965e+00,-7.797013e+00,-1.734516e+01,-2.119219e+01
6.250000e-02,1.933476e+01,5.306775e+00,5.716342e-01,-6.127088e+00,-2.274784e+01,-2.078635e+01
7.812500e-02,1.915725e+01,7.075750e+00,-1.422263e+00,-5.136869e+00,-2.923132e+01,-2.174909e+01
9.375000e-02,1.899371e+01,8.469994e+00,-4.429461e+00,-4.698288e+00,-2.147279e+01,-2.387173e+01
1.093750e-01,1.879940e+01,9.601625e+00,-9.869669e+00,-4.992673e+00,-1.626574e+01,-2.858938e+01
1.250000e-01,1.861437e+01,1.058926e+01,-1.694104e+01,-5.818615e+00,-1.358850e+01,-2.919148e+01
1.406250e-01,1.842471e+01,1.141551e+01,-7.972986e+00,-7.805144e+00,-1.234866e+01,-2.476788e+01
1.562500e-01,1.824795e+01,1.214085e+01,-2.404638e+00,-1.142068e+01,-1.239064e+01,-2.158517e+01
1.718750e-01,1.803850e+01,1.275978e+01,1.165258e+00,-1.919305e+01,-1.396539e+01,-2.042520e+01
1.875000e-01,1.784430e+01,1.332309e+01,3.838109e+00,-1.224228e+01,-1.813653e+01,-2.151747e+01
2.031250e-01,1.764277e+01,1.380823e+01,5.979149e+00,-5.312720e+00,-2.047048e+01,-2.597600e+01
2.187500e-01,1.738731e+01,1.418366e+01,7.658600e+00,-9.302874e-01,-1.143392e+01,-2.372640e+01
2.343750e-01,1.610602e+01,1.351748e+01,8.092026e+00,1.234770e+00,-6.819140e+00,-1.710560e+01
2.500000e-01,1.100496e+01,8.913405e+00,4.396568e+00,-1.157376e+00,-7.567187e+00,-1.635598e+01
2.656250e-01,-1.499318e+00,-3.028565e+00,-6.766698e+00,-1.137911e+01,-1.649528e+01,-2.417320e+01
2.812500e-01,-3.432870e+01,-3.499216e+01,-3.741234e+01,-4.245892e+01,-4.548278e+01,-5.856272e+01
2.968750e-01,-4.231303e+01,-4.206083e+01,-4.397646e+01,-4.731944e+01,-5.248982e+01,-5.973210e+01
3.125000e-01,-4.878789e+01,-4.933979e+01,-5.143703e+01,-5.495232e+01,-6.101229e+01,-6.238034e+01
3.281250e-01,-6.809150e+01,-6.105918e+01,-6.245160e+01,-5.848005e+01,-5.607450e+01,-5.905207e+01
3.437500e-01,-5.554790e+01,-5.763516e+01,-6.662594e+01,-6.334952e+01,-5.977582e+01,-6.162892e+01
3.593750e-01,-5.771456e+01,-6.129410e+01,-6.327642e+01,-5.994992e+01,-5.831046e+01,-5.908744e+01
3.750000e-01,-6.274964e+01,-6.649735e+01,-6.565657e+01,-6.192392e+01,-5.952163e+01,-6.110479e+01
3.906250e-01,-5.985196e+01,-6.695026e+01,-7.596297e+01,-6.387167e+01,-6.095222e+01,-6.226108e+01
4.062500e-01,-6.431171e+01,-7.699985e+01,-7.199475e+01,-6.456441e+01,-6.209149e+01,-6.443104e+01
4.218750e-01,-7.297248e+01,-7.658366e+01,-7.158660e+01,-6.489360e+01,-6.281749e+01,-6.630634e+01
4.375000e-01,-7.946541e+01,-7.848825e+01,-7.069964e+01,-6.681825e+01,-6.454418e+01,-6.749082e+01
4.531250e-01,-7.520476e+01,-7.195622e+01,-8.532439e+01,-6.814625e+01,-6.527751e+01,-6.777567e+01
4.687500e-01,-7.161134e+01,-8.788852e+01,-9.415108e+01,-6.793081e+01,-6.521992e+01,-7.028343e+01
4.843750e-01,-7.093650e+01,-8.183162e+01,-8.114273e+01,-7.276695e+01,-6.617851e+01,-6.717355e+01
5.000000e-01,-7.070648e+01,-8.846043e+01,-8.827537e+01,-6.799112e+01,-6.895924e+01,-7.436818e+01
