f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.990584e+01,-2.057017e+01,3.682705e+00,-3.089023e+01,-1.264030e+01,-4.145960e+01
1.562500e-02,1.984067e+01,-6.170163e+00,3.418561e+00,-1.659497e+01,-1.337176e+01,-2.893870e+01
3.125000e-02,1.966525e+01,-4.053770e-01,2.830671e+00,-1.093966e+01,-1.491562e+01,-2.380327e+01
4.687500e-02,1.951462e+01,2.937722e+00,1.948549e+00,-7.921965e+00,-1.758334e+01,-2.174880e+01
6.250000e-02,1.933755e+01,5.260916e+00,5.407372e-01,-6.173014e+00,-2.334991e+01,-2.135117e+01
7.812500e-02,1.916312e+01,7.022175e+00,-1.464199e+00,-5.200881e+00,-3.884437e+01,-2.216282e+01
9.375000e-02,1.899819e+01,8.440624e+00,-4.543485e+00,-4.756390e+00,-2.135609e+01,-2.543920e+01
1.093750e-01,1.880411e+01,9.575818e+00,-1.034214e+01,-4.946428e+00,-1.683152e+01,-2.996110e+01
1.250000e-01,1.862714e+01,1.055944e+01,-2.378749e+01,-5.829724e+00,-1.385828e+01,-3.654345e+01
1.406250e-01,1.842810e+01,1.138282e+01,-8.661146e+00,-7.709459e+00,-1.246565e+01,-2.640308e+01
1.562500e-01,1.825107e+01,1.211747e+01,-2.662919e+00,-1.169738e+01,-1.249564e+01,-2.241592e+01
1.718750e-01,1.803627e+01,1.273324e+01,1.027542e+00,-2.321654e+01,-1.391627e+01,-2.085947e+01
1.875000e-01,1.784878e+01,1.330089e+01,3.754246e+00,-1.352874e+01,-1.880525e+01,-2.233493e+01
2.031250e-01,1.763735e+01,1.379270e+01,5.866561e+00,-5.772041e+00,-2.878421e+01,-2.883859e+01
2.187500e-01,1.739360e+01,1.418427e+01,7.598652e+00,-1.174088e+00,-1.243031e+01,-2.896298e+01
2.343750e-01,1.610610e+01,1.349340e+01,8.018619e+00,1.054129e+00,-7.068027e+00,-1.745401e+01
2.500000e-01,1.099796e+01,8.905990e+00,4.342478e+00,-1.332107e+00,-7.862705e+00,-1.678208e+01
2.656250e-01,-1.407817e+00,-3.081283e+00,-6.805296e+00,-1.147685e+01,-1.734421e+01,-2.604687e+01
2.812500e-01,-3.598242e+01,-3.619715e+01,-4.055645e+01,-4.765733e+01,-5.755895e+01,-5.705185e+01
2.968750e-01,-4.571864e+01,-4.494352e+01,-4.968332e+01,-5.920523e+01,-6.597666e+01,-6.766305e+01
3.125000e-01,-5.480758e+01,-5.397274e+01,-5.595575e+01,-6.274436e+01,-6.571697e+01,-6.590279e+01
3.281250e-01,-5.757880e+01,-6.475164e+01,-6.094470e+01,-6.141520e+01,-6.496344e+01,-6.755333e+01
3.437500e-01,-5.339336e+01,-5.945030e+01,-5.960572e+01,-5.824880e+01,-6.208386e+01,-6.588283e+01
3.593750e-01,-5.501346e+01,-6.118257e+01,-5.826235e+01,-5.777119e+01,-6.191284e+01,-6.745448e+01
3.750000e-01,-5.972571e+01,-6.567898e+01,-6.086359e+01,-6.021886e+01,-6.451820e+01,-6.902732e+01
3.906250e-01,-6.249641e+01,-6.794335e+01,-6.302390e+01,-6.213736e+01,-6.395381e+01,-6.819355e+01
4.062500e-01,-6.112024e+01,-7.356362e+01,-6.740240e+01,-6.827214e+01,-6.897869e+01,-6.951158e+01
4.218750e-01,-6.237763e+01,-6.862157e+01,-6.584632e+01,-6.952335e+01,-7.031046e+01,-7.503287e+01
4.375000e-01,-6.162012e+01,-6.716448e+01,-6.762481e+01,-7.067750e+01,-7.073702e+01,-7.598170e+01
4.531250e-01,-6.297218e+01,-6.625766e+01,-7.009665e+01,-8.610916e+01,-7.237902e+01,-7.653693e+01
4.687500e-01,-6.308550e+01,-6.794741e+01,-6.965420e+01,-7.342888e+01,-7.208340e+01,-8.152582e+01
4.843750e-01,-6.126260e+01,-6.729050e+01,-7.050986e+01,-7.453036e+01,-7.256101e+01,-8.162823e+01
5.000000e-01,-6.238388e+01,-6.793037e+01,-7.466013e+01,-7.825439e+01,-7.881446e+01,-1.037906e+02
