f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,-1.473465e+00,-1.349820e+00,-1.667989e+01,-7.997211e+00,-5.202542e+01,-3.642472e+01
1.562500e-02,-1.587771e+00,-5.309827e+00,-1.070765e+01,-1.767546e+01,-1.090506e+01,-1.104954e+01
3.125000e-02,-2.598859e-01,-4.783551e+00,-6.560361e+00,-1.117889e+01,-1.255470e+01,-1.254236e+01
4.687500e-02,3.654007e+00,-4.427528e+00,-6.185440e+00,-6.987028e+00,-6.900746e+00,-1.558769e+01
6.250000e-02,2.394239e+00,-3.215906e+00,-8.672969e+00,-1.085018e+01,-7.413069e+00,-1.693722e+01
7.812500e-02,3.904798e+00,-2.311458e+00,-3.829423e+00,-3.800961e+00,-1.745890e+01,-1.466752e+01
9.375000e-02,1.210990e+00,-1.558641e+00,-5.091802e+00,-1.506067e+01,-1.230881e+01,-1.833233e+01
1.093750e-01,2.266831e+00,-5.053929e+00,-3.246808e+00,-1.292221e+01,-9.018414e+00,-1.111652e+01
1.250000e-01,3.392370e+00,-6.384718e-01,-2.830332e+00,-7.529056e+00,-1.130590e+01,-1.020507e+01
1.406250e-01,5.192247e+00,1.514909e+00,-4.581602e-01,-1.908159e+00,-6.254223e+00,-8.183018e+00
1.562500e-01,6.045584e+00,5.073580e+00,2.897290e+00,-9.806661e-01,-2.043458e+00,-1.161421e+01
1.718750e-01,7.032096e+00,3.834769e+00,2.964205e+00,9.158476e-01,-4.124291e+00,-9.635107e+00
1.875000e-01,8.721649e+00,6.195946e+00,2.997707e+00,4.849964e-01,-3.956427e+00,-1.089896e+01
2.031250e-01,9.607536e+00,7.790719e+00,5.254967e+00,2.709223e+00,-5.351182e-01,-9.952716e+00
2.187500e-01,1.032839e+01,7.500926e+00,4.737829e+00,2.886733e+00,-4.748017e-01,-8.438847e+00
2.343750e-01,9.241686e+00,6.341925e+00,3.176085e+00,2.765029e-01,-3.002004e+00,-1.073757e+01
2.500000e-01,3.810280e+00,4.631243e-01,-2.323805e+00,-5.060137e+00,-1.013584e+01,-1.685938e+01
2.656250e-01,-8.401443e+00,-1.241283e+01,-1.514190e+01,-1.757040e+01,-2.061424e+01,-2.542107e+01
2.812500e-01,-3.005869e+01,-2.835895e+01,-4.598969e+01,-4.007052e+01,-4.286610e+01,-3.987773e+01
2.968750e-01,-3.459773e+01,-3.196109e+01,-3.618253e+01,-4.176998e+01,-4.069445e+01,-4.307842e+01
3.125000e-01,-3.351587e+01,-3.258334e+01,-3.599243e+01,-3.576037e+01,-4.404916e+01,-3.721559e+01
3.281250e-01,-4.032157e+01,-3.428106e+01,-4.122953e+01,-4.213405e+01,-5.116284e+01,-3.735124e+01
3.437500e-01,-3.415721e+01,-3.404714e+01,-3.440730e+01,-3.603901e+01,-4.462063e+01,-3.879755e+01
3.593750e-01,-4.406724e+01,-3.596207e+01,-3.377593e+01,-3.864069e+01,-3.974587e+01,-3.467187e+01
3.750000e-01,-3.512892e+01,-3.508100e+01,-3.016265e+01,-3.270296e+01,-4.143844e+01,-3.458478e+01
3.906250e-01,-3.414218e+01,-3.621783e+01,-2.853497e+01,-3.491625e+01,-4.729527e+01,-3.512862e+01
4.062500e-01,-4.422401e+01,-3.713568e+01,-3.271293e+01,-3.677489e+01,-4.690799e+01,-3.219654e+01
4.218750e-01,-4.425803e+01,-3.567980e+01,-3.069478e+01,-3.662711e+01,-5.675060e+01,-3.569158e+01
4.375000e-01,-2.957489e+01,-3.039886e+01,-2.774634e+01,-3.340089e+01,-4.555874e+01,-3.421455e+01
4.531250e-01,-3.145975e+01,-3.203947e+01,-2.717774e+01,-3.204637e+01,-3.591825e+01,-3.732924e+01
4.687500e-01,-2.997803e+01,-2.904307e+01,-2.618674e+01,-3.091839e+01,-3.381055e+01,-3.726225e+01
4.843750e-01,-3.255583e+01,-2.874532e+01,-2.643339e+01,-3.004568e+01,-3.029389e+01,-3.821654e+01
5.000000e-01,-6.014597e+01,-4.773163e+01,-4.057008e+01,-3.989610e+01,-4.347086e+01,-3.991879e+01
