f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.964896e+01,8.849451e+00,5.838147e+00,8.304091e+00,2.912214e+00,-1.842499e+01
1.562500e-02,1.930100e+01,8.859618e+00,5.056437e+00,7.444804e+00,1.260013e+00,-1.776444e+01
3.125000e-02,1.904305e+01,8.165155e+00,4.903606e+00,7.062227e+00,1.878788e+00,-1.504209e+01
4.687500e-02,1.821479e+01,7.550392e+00,2.191596e+00,5.798238e+00,1.654659e+00,-1.028867e+01
6.250000e-02,1.821994e+01,6.375795e+00,3.768454e+00,6.350245e+00,2.682229e+00,-7.025248e+00
7.812500e-02,1.697721e+01,5.245774e+00,-2.106326e-01,3.827949e+00,1.399128e+00,-8.193224e+00
9.375000e-02,1.577006e+01,2.860642e+00,-6.914532e+00,1.130508e+00,-2.641745e+00,-1.567877e+01
1.093750e-01,1.591424e+01,4.449865e+00,-6.757455e+00,-8.920257e-01,-4.974644e+00,-1.762871e+01
1.250000e-01,1.541956e+01,3.164555e+00,-1.051592e+01,-3.111595e+00,-3.323333e+00,-8.288909e+00
1.406250e-01,1.465801e+01,2.934791e+00,-1.075736e+01,-6.290182e+00,-5.488235e+00,-1.165297e+01
1.562500e-01,1.389966e+01,1.769970e+00,-6.584768e+00,-1.050313e+01,-9.513666e+00,-1.723506e+01
1.718750e-01,1.394145e+01,1.311512e+00,-3.795265e+00,-1.454565e+01,-1.076683e+01,-1.789792e+01
1.875000e-01,1.333272e+01,3.415476e-01,-3.547073e+00,-1.168681e+01,-9.541315e+00,-1.859426e+01
2.031250e-01,1.271156e+01,1.024565e+00,-3.514680e+00,-1.417341e+01,-2.014026e+01,-2.366551e+01
2.187500e-01,1.237634e+01,-4.622956e-01,-4.824493e+00,-1.372047e+01,-1.576516e+01,-1.731538e+01
2.343750e-01,1.115769e+01,-3.011003e-01,-6.763929e+00,-1.918783e+01,-1.762250e+01,-1.895206e+01
2.500000e-01,5.759025e+00,-4.525901e+00,-8.111169e+00,-1.348694e+01,-1.961725e+01,-2.809920e+01
2.656250e-01,-6.818129e+00,-1.704691e+01,-3.319724e+01,-2.830955e+01,-3.641767e+01,-4.332967e+01
2.812500e-01,-2.907127e+01,-2.863727e+01,-2.566024e+01,-2.930632e+01,-3.892311e+01,-4.525676e+01
2.968750e-01,-3.248424e+01,-3.759991e+01,-3.087608e+01,-3.650109e+01,-4.108015e+01,-4.163437e+01
3.125000e-01,-3.124755e+01,-3.384246e+01,-3.101247e+01,-3.657424e+01,-4.052209e+01,-5.781619e+01
3.281250e-01,-3.243437e+01,-3.545863e+01,-3.312534e+01,-3.752357e+01,-4.615065e+01,-5.097423e+01
3.437500e-01,-3.274413e+01,-3.804555e+01,-3.611707e+01,-3.911753e+01,-4.103318e+01,-5.062509e+01
3.593750e-01,-3.103903e+01,-3.607355e+01,-3.904722e+01,-4.894889e+01,-4.342178e+01,-4.066127e+01
3.750000e-01,-3.151189e+01,-3.602081e+01,-3.547584e+01,-4.241512e+01,-4.385355e+01,-4.999215e+01
3.906250e-01,-3.216381e+01,-3.526765e+01,-3.827281e+01,-4.554070e+01,-4.767190e+01,-4.690348e+01
4.062500e-01,-3.027362e+01,-3.370797e+01,-3.483046e+01,-3.942536e+01,-4.693726e+01,-5.520370e+01
4.218750e-01,-3.089130e+01,-3.482695e+01,-3.618459e+01,-4.737596e+01,-4.321946e+01,-4.101427e+01
4.375000e-01,-3.236458e+01,-3.639872e+01,-3.796628e+01,-4.204652e+01,-4.159735e+01,-5.051755e+01
4.531250e-01,-3.695689e+01,-3.899250e+01,-4.300289e+01,-3.694222e+01,-3.808402e+01,-4.856405e+01
4.687500e-01,-3.429958e+01,-3.688463e+01,-4.292935e+01,-4.014639e+01,-3.940116e+01,-4.803215e+01
4.843750e-01,-3.661919e+01,-3.633481e+01,-3.989971e+01,-3.602805e+01,-3.561114e+01,-4.237079e+01
5.000000e-01,-3.885748e+01,-4.320129e+01,-4.782794e+01,-6.440405e+01,-4.521821e+01,-4.042165e+01
