f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.983003e+01,-3.496610e+00,3.538560e+00,-1.423622e+01,-1.330386e+01,-2.405453e+01
1.562500e-02,1.981571e+01,-1.709179e+00,3.327494e+00,-1.254936e+01,-1.343814e+01,-2.418795e+01
3.125000e-02,1.964275e+01,1.331900e+00,2.748193e+00,-9.674842e+00,-1.496646e+01,-2.214925e+01
4.687500e-02,1.950441e+01,3.851249e+00,1.908745e+00,-7.472581e+00,-1.672525e+01,-2.142416e+01
6.250000e-02,1.930151e+01,5.829042e+00,5.038016e-01,-6.012982e+00,-1.973039e+01,-2.100588e+01
7.812500e-02,1.909650e+01,7.418254e+00,-1.247276e+00,-5.205069e+00,-2.063348e+01,-2.210064e+01
9.375000e-02,1.898811e+01,8.758125e+00,-3.653110e+00,-4.910916e+00,-1.788438e+01,-2.374361e+01
1.093750e-01,1.878018e+01,9.867758e+00,-6.494121e+00,-5.255179e+00,-1.536288e+01,-2.490302e+01
1.250000e-01,1.859791e+01,1.080221e+01,-6.713785e+00,-6.174641e+00,-1.365927e+01,-2.519415e+01
1.406250e-01,1.843642e+01,1.161508e+01,-3.612165e+00,-7.827919e+00,-1.281486e+01,-2.321715e+01
1.562500e-01,1.823008e+01,1.232671e+01,-2.166106e-01,-1.000029e+01,-1.315013e+01,-2.121580e+01
1.718750e-01,1.803125e+01,1.292816e+01,2.605548e+00,-9.933307e+00,-1.427819e+01,-2.128083e+01
1.875000e-01,1.781688e+01,1.347691e+01,4.887396e+00,-6.220654e+00,-1.473477e+01,-2.156371e+01
2.031250e-01,1.757925e+01,1.393611e+01,6.719791e+00,-2.183390e+00,-1.114667e+01,-2.011407e+01
2.187500e-01,1.735211e+01,1.431526e+01,8.249803e+00,8.955452e-01,-6.753737e+00,-1.509330e+01
2.343750e-01,1.604162e+01,1.353886e+01,8.498424e+00,2.524155e+00,-3.922189e+00,-1.306160e+01
2.500000e-01,1.086524e+01,8.920731e+00,4.568717e+00,-4.892062e-01,-5.907905e+00,-1.392303e+01
2.656250e-01,-2.095886e+00,-3.509223e+00,-6.948745e+00,-1.171206e+01,-1.676504e+01,-2.325916e+01
2.812500e-01,-3.734160e+01,-3.725326e+01,-4.104137e+01,-4.043310e+01,-4.297242e+01,-4.682656e+01
2.968750e-01,-4.450724e+01,-4.627366e+01,-4.904858e+01,-4.697281e+01,-4.872927e+01,-5.265895e+01
3.125000e-01,-5.584529e+01,-5.450856e+01,-5.728027e+01,-5.403130e+01,-5.343257e+01,-5.214187e+01
3.281250e-01,-6.341152e+01,-5.920575e+01,-5.207102e+01,-5.899471e+01,-6.280259e+01,-5.547539e+01
3.437500e-01,-5.182168e+01,-5.768557e+01,-5.364723e+01,-7.051469e+01,-6.355434e+01,-5.939946e+01
3.593750e-01,-5.648626e+01,-5.719521e+01,-5.319143e+01,-6.881185e+01,-6.552975e+01,-6.801684e+01
3.750000e-01,-5.907005e+01,-6.260417e+01,-5.683264e+01,-7.083604e+01,-7.041382e+01,-6.175625e+01
3.906250e-01,-5.617622e+01,-6.018045e+01,-5.693988e+01,-6.992462e+01,-7.197223e+01,-6.307155e+01
4.062500e-01,-6.204332e+01,-5.921894e+01,-5.670141e+01,-6.158136e+01,-6.570312e+01,-7.683008e+01
4.218750e-01,-6.462587e+01,-6.463000e+01,-5.816160e+01,-6.550861e+01,-6.606921e+01,-8.154351e+01
4.375000e-01,-5.882236e+01,-6.451002e+01,-5.816882e+01,-6.336438e+01,-6.612805e+01,-7.026535e+01
4.531250e-01,-5.565544e+01,-7.010205e+01,-5.810701e+01,-6.067379e+01,-6.854783e+01,-8.518710e+01
4.687500e-01,-5.842174e+01,-6.618863e+01,-5.833095e+01,-7.102166e+01,-6.494174e+01,-6.842854e+01
4.843750e-01,-6.164937e+01,-6.313964e+01,-5.829468e+01,-6.340639e+01,-6.692012e+01,-7.292381e+01
5.000000e-01,-6.150992e+01,-8.551395e+01,-6.586210e+01,-7.368315e+01,-8.155597e+01,-8.224530e+01
