f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.958564e+01,1.881745e+00,4.066413e+00,-8.723554e+00,-1.149184e+01,-1.932772e+01
1.562500e-02,1.972368e+01,2.387865e+00,3.905532e+00,-8.121578e+00,-1.173704e+01,-1.902539e+01
3.125000e-02,1.938916e+01,3.746843e+00,3.382614e+00,-7.073736e+00,-1.238108e+01,-1.926692e+01
4.687500e-02,1.923513e+01,5.319218e+00,2.604660e+00,-5.796752e+00,-1.349753e+01,-1.924474e+01
6.250000e-02,1.909455e+01,6.748978e+00,1.682980e+00,-4.761924e+00,-1.457455e+01,-1.830342e+01
7.812500e-02,1.898294e+01,8.097619e+00,4.593213e-01,-3.963495e+00,-1.478056e+01,-1.855325e+01
9.375000e-02,1.877060e+01,9.200365e+00,-7.423916e-01,-3.820087e+00,-1.376187e+01,-1.896861e+01
1.093750e-01,1.861610e+01,1.016714e+01,-1.703500e+00,-3.950719e+00,-1.178317e+01,-1.985042e+01
1.250000e-01,1.840503e+01,1.104734e+01,-1.506744e+00,-4.194761e+00,-1.091200e+01,-1.927648e+01
1.406250e-01,1.826399e+01,1.179790e+01,-9.775815e-02,-4.665280e+00,-1.030453e+01,-1.892264e+01
1.562500e-01,1.812356e+01,1.243938e+01,1.914298e+00,-4.962154e+00,-9.892614e+00,-1.757243e+01
1.718750e-01,1.766825e+01,1.298174e+01,3.865067e+00,-4.478341e+00,-9.988934e+00,-1.625139e+01
1.875000e-01,1.764409e+01,1.358843e+01,5.798862e+00,-2.346791e+00,-8.838461e+00,-1.552732e+01
2.031250e-01,1.742947e+01,1.397349e+01,7.334535e+00,1.437276e-01,-6.338616e+00,-1.390558e+01
2.187500e-01,1.685422e+01,1.410177e+01,8.451331e+00,2.153510e+00,-4.210296e+00,-1.170006e+01
2.343750e-01,1.574099e+01,1.334182e+01,8.538700e+00,3.122370e+00,-2.612849e+00,-9.445797e+00
2.500000e-01,1.101823e+01,8.647931e+00,4.618941e+00,2.803297e-02,-4.565481e+00,-1.140165e+01
2.656250e-01,-1.968675e+00,-3.171778e+00,-6.689319e+00,-1.026986e+01,-1.432323e+01,-2.121956e+01
2.812500e-01,-3.273557e+01,-4.681294e+01,-4.230155e+01,-6.733450e+01,-5.055461e+01,-4.860902e+01
2.968750e-01,-3.578077e+01,-5.834786e+01,-4.835528e+01,-5.740464e+01,-4.957060e+01,-4.867310e+01
3.125000e-01,-3.663449e+01,-5.143879e+01,-4.650692e+01,-5.253022e+01,-5.362426e+01,-5.293619e+01
3.281250e-01,-4.055348e+01,-4.587032e+01,-5.162020e+01,-4.968866e+01,-5.713214e+01,-5.216993e+01
3.437500e-01,-4.090626e+01,-4.638355e+01,-4.824577e+01,-5.039642e+01,-5.446611e+01,-5.341830e+01
3.593750e-01,-4.078591e+01,-4.728487e+01,-5.055708e+01,-4.942382e+01,-5.377498e+01,-5.588719e+01
3.750000e-01,-4.119658e+01,-4.924673e+01,-5.252263e+01,-5.429012e+01,-6.082104e+01,-5.990452e+01
3.906250e-01,-4.020700e+01,-4.942604e+01,-5.308071e+01,-5.259245e+01,-5.754921e+01,-5.604086e+01
4.062500e-01,-4.111965e+01,-5.124676e+01,-5.590480e+01,-5.567767e+01,-6.373599e+01,-6.238375e+01
4.218750e-01,-4.327134e+01,-5.539785e+01,-6.118291e+01,-5.931677e+01,-6.374035e+01,-6.200606e+01
4.375000e-01,-4.354457e+01,-5.535155e+01,-5.911667e+01,-6.174971e+01,-6.574727e+01,-6.121512e+01
4.531250e-01,-4.550221e+01,-5.934499e+01,-6.018653e+01,-6.173629e+01,-7.375283e+01,-6.680311e+01
4.687500e-01,-4.434699e+01,-5.913031e+01,-6.615587e+01,-7.301129e+01,-6.672420e+01,-6.166588e+01
4.843750e-01,-4.678366e+01,-6.217388e+01,-7.781674e+01,-6.597379e+01,-7.038832e+01,-7.786672e+01
5.000000e-01,-4.776670e+01,-6.308099e+01,-6.508716e+01,-6.565789e+01,-6.597221e+01,-7.421736e+01
