f,SNR
1.000000e+00,1.511514e+01
2.371374e+00,3.048172e+01
3.162278e+00,3.916575e+01
4.216965e+00,4.110279e+01
5.623413e+00,4.947345e+01
7.498942e+00,4.786585e+01
1.000000e+01,5.298654e+01
1.333521e+01,5.445338e+01
1.778279e+01,5.713609e+01
2.371374e+01,5.874224e+01
3.162278e+01,6.120087e+01
4.216965e+01,6.458679e+01
5.623413e+01,6.562197e+01
7.498942e+01,6.904533e+01
1.000000e+02,6.817811e+01
1.333521e+02,6.818769e+01
1.778279e+02,6.896971e+01
2.371374e+02,6.983641e+01
3.162278e+02,7.035494e+01
4.216965e+02,7.020456e+01
5.623413e+02,7.009387e+01
7.498942e+02,6.932158e+01
1.000000e+03,7.216500e+01
