f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.989116e+01,-3.959614e+01,3.639398e+00,-3.909767e+01,-1.274489e+01,-3.708024e+01
1.562500e-02,1.983749e+01,-6.272942e+00,3.470626e+00,-1.668335e+01,-1.318557e+01,-2.839596e+01
3.125000e-02,1.967628e+01,-4.413734e-01,2.866104e+00,-1.112824e+01,-1.472695e+01,-2.393385e+01
4.687500e-02,1.951013e+01,2.909199e+00,1.938660e+00,-7.942028e+00,-1.757813e+01,-2.182070e+01
6.250000e-02,1.934252e+01,5.231418e+00,5.657595e-01,-6.174897e+00,-2.343679e+01,-2.113776e+01
7.812500e-02,1.916346e+01,7.003418e+00,-1.437432e+00,-5.178992e+00,-4.461597e+01,-2.189660e+01
9.375000e-02,1.899450e+01,8.413480e+00,-4.547089e+00,-4.739513e+00,-2.219451e+01,-2.498666e+01
1.093750e-01,1.879625e+01,9.553500e+00,-1.028232e+01,-4.936141e+00,-1.664764e+01,-2.938548e+01
1.250000e-01,1.863757e+01,1.056008e+01,-3.400371e+01,-5.874433e+00,-1.385897e+01,-3.324282e+01
1.406250e-01,1.843129e+01,1.136856e+01,-8.874319e+00,-7.807076e+00,-1.261856e+01,-2.602014e+01
1.562500e-01,1.825015e+01,1.211147e+01,-2.776050e+00,-1.163893e+01,-1.237809e+01,-2.244400e+01
1.718750e-01,1.802138e+01,1.270411e+01,9.228379e-01,-2.404156e+01,-1.392695e+01,-2.088447e+01
1.875000e-01,1.783082e+01,1.327826e+01,3.673783e+00,-1.440596e+01,-1.871428e+01,-2.186234e+01
2.031250e-01,1.765328e+01,1.379547e+01,5.842887e+00,-5.994557e+00,-2.970257e+01,-2.706680e+01
2.187500e-01,1.738593e+01,1.415920e+01,7.548136e+00,-1.285905e+00,-1.264550e+01,-2.873418e+01
2.343750e-01,1.610366e+01,1.349800e+01,7.999677e+00,9.961961e-01,-7.197787e+00,-1.774423e+01
2.500000e-01,1.100262e+01,8.958924e+00,4.344046e+00,-1.432857e+00,-8.114803e+00,-1.691084e+01
2.656250e-01,-1.469358e+00,-3.094216e+00,-6.845356e+00,-1.142686e+01,-1.729333e+01,-2.552816e+01
2.812500e-01,-3.555577e+01,-3.746876e+01,-4.089755e+01,-4.359322e+01,-4.603078e+01,-6.061469e+01
2.968750e-01,-4.453191e+01,-4.530661e+01,-4.792759e+01,-4.987539e+01,-5.074402e+01,-6.086384e+01
3.125000e-01,-5.945133e+01,-5.899384e+01,-6.149191e+01,-6.530811e+01,-5.725484e+01,-6.605418e+01
3.281250e-01,-6.416525e+01,-6.276456e+01,-6.409633e+01,-6.367410e+01,-6.094528e+01,-7.198786e+01
3.437500e-01,-5.729771e+01,-5.762651e+01,-5.931769e+01,-6.233267e+01,-6.053053e+01,-6.654112e+01
3.593750e-01,-5.314515e+01,-5.467097e+01,-5.536458e+01,-5.719423e+01,-5.813215e+01,-6.189477e+01
3.750000e-01,-5.988273e+01,-5.887365e+01,-6.036664e+01,-6.083740e+01,-6.142852e+01,-6.481369e+01
3.906250e-01,-6.105717e+01,-6.212195e+01,-6.503436e+01,-6.643034e+01,-6.584589e+01,-7.029710e+01
4.062500e-01,-6.521703e+01,-6.702083e+01,-6.650785e+01,-6.671334e+01,-6.220857e+01,-6.841515e+01
4.218750e-01,-6.532911e+01,-6.791719e+01,-6.876559e+01,-6.905058e+01,-6.251080e+01,-7.105919e+01
4.375000e-01,-7.185746e+01,-7.662711e+01,-7.554374e+01,-7.129701e+01,-6.332072e+01,-7.149280e+01
4.531250e-01,-9.270045e+01,-7.576811e+01,-8.839727e+01,-8.865370e+01,-7.020578e+01,-8.681950e+01
4.687500e-01,-7.335498e+01,-8.340477e+01,-8.059286e+01,-7.252073e+01,-6.609809e+01,-7.978370e+01
4.843750e-01,-6.913802e+01,-8.209351e+01,-8.414426e+01,-8.275969e+01,-7.093313e+01,-8.124919e+01
5.000000e-01,-7.316916e+01,-1.008740e+02,-8.803066e+01,-1.007870e+02,-7.744902e+01,-8.981780e+01
