f_I,f_Q,SNR_I,SNR_Q
6.250000e-02,6.250000e-02,6.625416e+01,6.546188e+01
1.875000e-01,1.875000e-01,6.765557e+01,6.766220e+01
3.125000e-01,3.125000e-01,6.725801e+01,6.725713e+01
4.375000e-01,4.375000e-01,6.471656e+01,6.488840e+01
