f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
0.000000e+00,-1.661822e+02,0.000000e+00,-2.047380e+02,0.000000e+00,-2.134827e+02,0.000000e+00,-2.122284e+02,0.000000e+00,-1.729489e+02
4.882812e-04,-1.587527e+02,4.882812e-04,-2.023526e+02,4.882812e-04,-2.111443e+02,4.882812e-04,-2.118419e+02,4.882812e-04,-1.672645e+02
9.765625e-04,-1.575556e+02,9.765625e-04,-2.056944e+02,9.765625e-04,-2.109820e+02,9.765625e-04,-2.143257e+02,9.765625e-04,-1.667033e+02
1.464844e-03,-1.591281e+02,1.464844e-03,-2.073009e+02,1.464844e-03,-2.097336e+02,1.464844e-03,-2.158745e+02,1.464844e-03,-1.680830e+02
1.953125e-03,-1.618184e+02,1.953125e-03,-2.058550e+02,1.953125e-03,-2.093145e+02,1.953125e-03,-2.172756e+02,1.953125e-03,-1.666893e+02
2.441406e-03,-1.612772e+02,2.441406e-03,-2.049837e+02,2.441406e-03,-2.100616e+02,2.441406e-03,-2.161265e+02,2.441406e-03,-1.663772e+02
2.929688e-03,-1.627384e+02,2.929688e-03,-2.053959e+02,2.929688e-03,-2.115364e+02,2.929688e-03,-2.183828e+02,2.929688e-03,-1.669055e+02
3.417969e-03,-1.642217e+02,3.417969e-03,-2.077477e+02,3.417969e-03,-2.116106e+02,3.417969e-03,-2.158781e+02,3.417969e-03,-1.662933e+02
3.906250e-03,-1.665350e+02,3.906250e-03,-2.052091e+02,3.906250e-03,-2.104942e+02,3.906250e-03,-2.139807e+02,3.906250e-03,-1.676110e+02
4.394531e-03,-1.682604e+02,4.394531e-03,-2.035628e+02,4.394531e-03,-2.098327e+02,4.394531e-03,-2.136504e+02,4.394531e-03,-1.703825e+02
4.882812e-03,-1.676228e+02,4.882812e-03,-2.035111e+02,4.882812e-03,-2.105557e+02,4.882812e-03,-2.142776e+02,4.882812e-03,-1.691606e+02
5.371094e-03,-1.659462e+02,5.371094e-03,-2.043219e+02,5.371094e-03,-2.107707e+02,5.371094e-03,-2.147476e+02,5.371094e-03,-1.685096e+02
5.859375e-03,-1.676870e+02,5.859375e-03,-2.046451e+02,5.859375e-03,-2.102547e+02,5.859375e-03,-2.139944e+02,5.859375e-03,-1.712362e+02
6.347656e-03,-1.661290e+02,6.347656e-03,-2.052556e+02,6.347656e-03,-2.105513e+02,6.347656e-03,-2.140652e+02,6.347656e-03,-1.746454e+02
6.835938e-03,-1.658824e+02,6.835938e-03,-2.042630e+02,6.835938e-03,-2.104164e+02,6.835938e-03,-2.135339e+02,6.835938e-03,-1.763803e+02
7.324219e-03,-1.680112e+02,7.324219e-03,-2.033976e+02,7.324219e-03,-2.114144e+02,7.324219e-03,-2.128965e+02,7.324219e-03,-1.748815e+02
7.812500e-03,-1.682722e+02,7.812500e-03,-2.047163e+02,7.812500e-03,-2.127768e+02,7.812500e-03,-2.124824e+02,7.812500e-03,-1.752027e+02
8.300781e-03,-1.648378e+02,8.300781e-03,-2.056640e+02,8.300781e-03,-2.119723e+02,8.300781e-03,-2.141673e+02,8.300781e-03,-1.756232e+02
8.789062e-03,-1.661021e+02,8.789062e-03,-2.054762e+02,8.789062e-03,-2.113119e+02,8.789062e-03,-2.168548e+02,8.789062e-03,-1.766398e+02
9.277344e-03,-1.680819e+02,9.277344e-03,-2.046793e+02,9.277344e-03,-2.121731e+02,9.277344e-03,-2.174685e+02,9.277344e-03,-1.809043e+02
9.765625e-03,-1.682611e+02,9.765625e-03,-2.027138e+02,9.765625e-03,-2.130999e+02,9.765625e-03,-2.166262e+02,9.765625e-03,-1.866771e+02
1.025391e-02,-1.688224e+02,1.025391e-02,-2.040077e+02,1.025391e-02,-2.125856e+02,1.025391e-02,-2.146847e+02,1.025391e-02,-1.899756e+02
