f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
9.765625e-03,-1.917888e+02,9.765625e-03,-2.337026e+02,9.765625e-03,-2.395083e+02,9.765625e-03,-2.477352e+02,9.765625e-03,-2.492072e+02,9.765625e-03,-2.529000e+02,9.765625e-03,-2.532420e+02,9.765625e-03,-2.533827e+02,9.765625e-03,-1.929071e+02
1.025391e-02,-1.944787e+02,1.025391e-02,-2.334739e+02,1.025391e-02,-2.412874e+02,1.025391e-02,-2.455184e+02,1.025391e-02,-2.497325e+02,1.025391e-02,-2.520170e+02,1.025391e-02,-2.557990e+02,1.025391e-02,-2.530201e+02,1.025391e-02,-1.901163e+02
1.074219e-02,-1.972922e+02,1.074219e-02,-2.342393e+02,1.074219e-02,-2.417588e+02,1.074219e-02,-2.451503e+02,1.074219e-02,-2.531123e+02,1.074219e-02,-2.495340e+02,1.074219e-02,-2.541724e+02,1.074219e-02,-2.543418e+02,1.074219e-02,-1.888827e+02
1.123047e-02,-1.995411e+02,1.123047e-02,-2.332058e+02,1.123047e-02,-2.419349e+02,1.123047e-02,-2.453524e+02,1.123047e-02,-2.508363e+02,1.123047e-02,-2.490797e+02,1.123047e-02,-2.533283e+02,1.123047e-02,-2.548926e+02,1.123047e-02,-1.878767e+02
1.171875e-02,-2.008593e+02,1.171875e-02,-2.337757e+02,1.171875e-02,-2.446893e+02,1.171875e-02,-2.459798e+02,1.171875e-02,-2.503221e+02,1.171875e-02,-2.488104e+02,1.171875e-02,-2.547096e+02,1.171875e-02,-2.543063e+02,1.171875e-02,-1.866667e+02
1.220703e-02,-2.019115e+02,1.220703e-02,-2.340665e+02,1.220703e-02,-2.434564e+02,1.220703e-02,-2.475031e+02,1.220703e-02,-2.517615e+02,1.220703e-02,-2.490632e+02,1.220703e-02,-2.540974e+02,1.220703e-02,-2.528160e+02,1.220703e-02,-1.879612e+02
1.269531e-02,-2.003614e+02,1.269531e-02,-2.338572e+02,1.269531e-02,-2.435628e+02,1.269531e-02,-2.453284e+02,1.269531e-02,-2.518763e+02,1.269531e-02,-2.518186e+02,1.269531e-02,-2.525244e+02,1.269531e-02,-2.517997e+02,1.269531e-02,-1.885541e+02
1.318359e-02,-1.976598e+02,1.318359e-02,-2.318071e+02,1.318359e-02,-2.431142e+02,1.318359e-02,-2.431385e+02,1.318359e-02,-2.505182e+02,1.318359e-02,-2.514208e+02,1.318359e-02,-2.519483e+02,1.318359e-02,-2.522921e+02,1.318359e-02,-1.870827e+02
1.367188e-02,-1.958101e+02,1.367188e-02,-2.303693e+02,1.367188e-02,-2.417757e+02,1.367188e-02,-2.436880e+02,1.367188e-02,-2.496139e+02,1.367188e-02,-2.515161e+02,1.367188e-02,-2.515120e+02,1.367188e-02,-2.544438e+02,1.367188e-02,-1.891393e+02
1.416016e-02,-1.941537e+02,1.416016e-02,-2.306890e+02,1.416016e-02,-2.418833e+02,1.416016e-02,-2.475230e+02,1.416016e-02,-2.494836e+02,1.416016e-02,-2.505279e+02,1.416016e-02,-2.514566e+02,1.416016e-02,-2.549291e+02,1.416016e-02,-1.910109e+02
