f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
1.757812e-02,-1.531472e+02,1.757812e-02,-1.739917e+02,1.757812e-02,-1.837437e+02,1.757812e-02,-1.860955e+02,1.757812e-02,-1.592881e+02
1.806641e-02,-1.559717e+02,1.806641e-02,-1.748268e+02,1.806641e-02,-1.839744e+02,1.806641e-02,-1.878278e+02,1.806641e-02,-1.582440e+02
1.855469e-02,-1.556185e+02,1.855469e-02,-1.757100e+02,1.855469e-02,-1.838174e+02,1.855469e-02,-1.875586e+02,1.855469e-02,-1.558954e+02
1.904297e-02,-1.574251e+02,1.904297e-02,-1.764198e+02,1.904297e-02,-1.832928e+02,1.904297e-02,-1.877858e+02,1.904297e-02,-1.559730e+02
1.953125e-02,-1.575718e+02,1.953125e-02,-1.777466e+02,1.953125e-02,-1.813036e+02,1.953125e-02,-1.890425e+02,1.953125e-02,-1.553948e+02
2.001953e-02,-1.580511e+02,2.001953e-02,-1.765592e+02,2.001953e-02,-1.817132e+02,2.001953e-02,-1.877360e+02,2.001953e-02,-1.538322e+02
2.050781e-02,-1.601564e+02,2.050781e-02,-1.757446e+02,2.050781e-02,-1.840246e+02,2.050781e-02,-1.866392e+02,2.050781e-02,-1.524601e+02
2.099609e-02,-1.582043e+02,2.099609e-02,-1.771373e+02,2.099609e-02,-1.838354e+02,2.099609e-02,-1.875520e+02,2.099609e-02,-1.524286e+02
2.148438e-02,-1.597667e+02,2.148438e-02,-1.749102e+02,2.148438e-02,-1.817004e+02,2.148438e-02,-1.877675e+02,2.148438e-02,-1.523944e+02
2.197266e-02,-1.620319e+02,2.197266e-02,-1.761953e+02,2.197266e-02,-1.811887e+02,2.197266e-02,-1.869108e+02,2.197266e-02,-1.531641e+02
2.246094e-02,-1.638939e+02,2.246094e-02,-1.783174e+02,2.246094e-02,-1.838123e+02,2.246094e-02,-1.859601e+02,2.246094e-02,-1.531306e+02
2.294922e-02,-1.649999e+02,2.294922e-02,-1.756545e+02,2.294922e-02,-1.827257e+02,2.294922e-02,-1.861343e+02,2.294922e-02,-1.540476e+02
2.343750e-02,-1.654340e+02,2.343750e-02,-1.740552e+02,2.343750e-02,-1.808105e+02,2.343750e-02,-1.853023e+02,2.343750e-02,-1.522811e+02
2.392578e-02,-1.660948e+02,2.392578e-02,-1.736307e+02,2.392578e-02,-1.802974e+02,2.392578e-02,-1.852759e+02,2.392578e-02,-1.517558e+02
2.441406e-02,-1.630501e+02,2.441406e-02,-1.732915e+02,2.441406e-02,-1.803612e+02,2.441406e-02,-1.834017e+02,2.441406e-02,-1.534229e+02
2.490234e-02,-1.613675e+02,2.490234e-02,-1.727549e+02,2.490234e-02,-1.822534e+02,2.490234e-02,-1.830095e+02,2.490234e-02,-1.528985e+02
2.539062e-02,-1.630166e+02,2.539062e-02,-1.732590e+02,2.539062e-02,-1.823155e+02,2.539062e-02,-1.856814e+02,2.539062e-02,-1.530128e+02
2.587891e-02,-1.648658e+02,2.587891e-02,-1.747455e+02,2.587891e-02,-1.808018e+02,2.587891e-02,-1.852702e+02,2.587891e-02,-1.520755e+02
2.636719e-02,-1.634810e+02,2.636719e-02,-1.764580e+02,2.636719e-02,-1.819246e+02,2.636719e-02,-1.849263e+02,2.636719e-02,-1.503832e+02
2.685547e-02,-1.618590e+02,2.685547e-02,-1.764121e+02,2.685547e-02,-1.825065e+02,2.685547e-02,-1.844909e+02,2.685547e-02,-1.495474e+02
2.734375e-02,-1.583606e+02,2.734375e-02,-1.752322e+02,2.734375e-02,-1.821376e+02,2.734375e-02,-1.849040e+02,2.734375e-02,-1.517986e+02
2.783203e-02,-1.572658e+02,2.783203e-02,-1.760415e+02,2.783203e-02,-1.827000e+02,2.783203e-02,-1.875790e+02,2.783203e-02,-1.517372e+02
2.832031e-02,-1.583289e+02,2.832031e-02,-1.759341e+02,2.832031e-02,-1.826904e+02,2.832031e-02,-1.857556e+02,2.832031e-02,-1.515464e+02
2.880859e-02,-1.571414e+02,2.880859e-02,-1.760498e+02,2.880859e-02,-1.829160e+02,2.880859e-02,-1.851391e+02,2.880859e-02,-1.521651e+02
2.929688e-02,-1.555059e+02,2.929688e-02,-1.762430e+02,2.929688e-02,-1.809328e+02,2.929688e-02,-1.866744e+02,2.929688e-02,-1.512321e+02
2.978516e-02,-1.557632e+02,2.978516e-02,-1.778710e+02,2.978516e-02,-1.805985e+02,2.978516e-02,-1.860423e+02,2.978516e-02,-1.501276e+02
3.027344e-02,-8.629911e+01,3.027344e-02,-1.764508e+02,3.027344e-02,-1.819082e+02,3.027344e-02,-1.867812e+02,3.027344e-02,-8.630001e+01
3.076172e-02,-7.038183e+01,3.076172e-02,-1.709461e+02,3.076172e-02,-1.804407e+02,3.076172e-02,-1.822303e+02,3.076172e-02,-7.038183e+01
3.125000e-02,-6.587567e+01,3.125000e-02,-1.672038e+02,3.125000e-02,-1.778915e+02,3.125000e-02,-1.784245e+02,3.125000e-02,-6.587561e+01
3.173828e-02,-7.038194e+01,3.173828e-02,-1.696745e+02,3.173828e-02,-1.783715e+02,3.173828e-02,-1.820049e+02,3.173828e-02,-7.038179e+01
3.222656e-02,-8.630026e+01,3.222656e-02,-1.737343e+02,3.222656e-02,-1.814337e+02,3.222656e-02,-1.879024e+02,3.222656e-02,-8.629929e+01
3.271484e-02,-1.533374e+02,3.271484e-02,-1.738452e+02,3.271484e-02,-1.822488e+02,3.271484e-02,-1.879912e+02,3.271484e-02,-1.516253e+02
3.320312e-02,-1.517367e+02,3.320312e-02,-1.740725e+02,3.320312e-02,-1.809105e+02,3.320312e-02,-1.881635e+02,3.320312e-02,-1.512126e+02
3.369141e-02,-1.519110e+02,3.369141e-02,-1.743348e+02,3.369141e-02,-1.813006e+02,3.369141e-02,-1.873973e+02,3.369141e-02,-1.534492e+02
3.417969e-02,-1.521503e+02,3.417969e-02,-1.752253e+02,3.417969e-02,-1.830484e+02,3.417969e-02,-1.863494e+02,3.417969e-02,-1.552434e+02
