f_I,f_Q,SNR_I,SNR_Q
3.125000e-02,3.125000e-02,1.050252e+02,1.042848e+02
9.375000e-02,9.375000e-02,1.053965e+02,1.053965e+02
1.562500e-01,1.562500e-01,1.056008e+02,1.056005e+02
2.187500e-01,2.187500e-01,1.053653e+02,1.053654e+02
2.812500e-01,2.812500e-01,1.044150e+02,1.044149e+02
3.437500e-01,3.437500e-01,1.044179e+02,1.044177e+02
4.062500e-01,4.062500e-01,1.043155e+02,1.043154e+02
4.687500e-01,4.687500e-01,1.025988e+02,1.027727e+02
